number,page,service_id,service_name,start_time,duration,original_y,adjusted_y,final_y,offset,status
624,104,245-24,245-24 Elephant & Castle - Stonebridge Park,22:42:00,00:45:00,578,578,548,-30,adjusted
625,104,224D-15,224D-15 Elephant & Castle to Queen's Park,22:45:00,00:30:00,647,647,612,-35,adjusted
626,104,241-24,241-24 Queen's Park to Elephant & Castle,22:46:00,00:29:00,716,716,686,-30,adjusted
627,104,206D-25,206D-25 Harrow & Wealdstone to Elephant & Castle,22:49:00,00:54:00,785,785,755,-30,adjusted
628,104,234-24,234-24 Stonebridge Park - Elephant & Castle,22:49:00,00:43:00,854,854,824,-30,adjusted
629,105,225-28,225-28 Elephant & Castle - Harrow & Wealdstone,22:49:00,00:53:00,923,923,473,-450,adjusted
630,105,205-16,205-16 Elephant & Castle to Queen's Park,22:53:00,00:32:00,578,578,553,-25,adjusted
631,105,223-27,223-27 Queen's Park to Elephant & Castle,22:54:00,00:29:00,647,647,617,-30,adjusted
632,105,203-14,203-14 Elephant & Castle - Stonebridge Park,22:57:00,00:42:00,716,716,686,-30,adjusted
633,105,231-17,231-17 Elephant & Castle - Harrow & Wealdstone,23:00:00,00:56:00,785,785,760,-25,adjusted
634,105,204-23,204-23 Stonebridge Park - Elephant & Castle,23:04:00,00:45:00,854,854,824,-30,adjusted
635,106,213-21,213-21 Harrow & Wealdstone to Elephant & Castle,23:04:00,00:51:00,923,923,478,-445,adjusted
636,106,201D-28,201D-28 Elephant & Castle to Queen's Park,23:04:00,00:30:00,578,578,553,-25,adjusted
637,106,210-23,210-23 Queen's Park to Waterloo,23:06:00,00:31:00,647,647,622,-25,adjusted
638,106,221D-26,221D-26 Elephant & Castle to Queen's Park,23:08:00,00:33:00,716,716,691,-25,adjusted
639,106,237D-22,237D-22 Queen's Park to Elephant & Castle,23:10:00,00:29:00,785,785,760,-25,adjusted
640,106,240-23,240-23 Elephant & Castle - Stonebridge Park,23:12:00,00:45:00,854,854,829,-25,adjusted
641,107,212-23,212-23 Queen's Park to Waterloo,23:22:00,00:33:00,923,923,723,-200,adjusted
642,107,211-16,211-16 Elephant & Castle to Queen's Park,23:24:00,00:29:00,785,785,790,5,adjusted
643,107,224D-16,224D-16 Queen's Park to Elephant & Castle,23:30:00,00:29:00,854,854,859,5,adjusted
