number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,LA Union - Metrolink CMF (Non-Revenue),05:21:00,00:17:00
2,page 0,click (2373 437),,LA Union - Metrolink CMF (Non-Revenue),05:52:00,00:38:00
3,page 0,click (2373 506),,LA Union - Metrolink CMF (Non-Revenue),06:31:00,00:30:00
4,page 0,click (2373 575),,AV 201: LA Union - Lancaster (Part 1),06:39:00,01:13:00
5,page 0,click (2373 644),,VC 101: LA Union - Burbank,06:51:00,00:19:00
6,page 0,click (2373 713),,VC 103: LA Union - Burbank,06:58:00,00:40:00
7,page 0,click (2373 782),,LA Union - Metrolink CMF (Non-Revenue),07:13:00,00:36:00
8,page 0,click (2373 851),,LA Union - Metrolink CMF (Non-Revenue),07:16:00,00:25:00
9,page 1,click (2373 506),,AV 205: LA Union - Via Princessa,07:39:00,01:10:00
10,page 1,click (2373 575),,LA Union - Metrolink CMF (Non-Revenue),07:50:00,00:30:00
11,page 1,click (2373 644),,AV 201: LA Union - Lancaster (Part 2),07:55:00,00:57:00
12,page 1,click (2373 713),,LA Union - Metrolink CMF (Non-Revenue),07:59:00,00:32:00
13,page 1,click (2373 782),,LA Union - Metrolink CMF (Non-Revenue),08:06:00,00:18:00
14,page 1,click (2373 851),,LA Union - Metrolink CMF (Non-Revenue),08:31:00,00:32:00
15,page 2,click (2373 506),,AV 209: LA Union - Lancaster,09:39:00,02:11:00
16,page 2,click (2373 575),,LA Union - Metrolink CMF (Non-Revenue),09:47:00,00:14:00
17,page 2,click (2373 644),,VC 107: LA Union - Burbank,09:52:00,00:19:00
18,page 2,click (2373 713),,LA Union - Metrolink CMF (ECS),10:36:00,00:29:00
19,page 2,click (2373 782),,AV 213: LA Union - Lancaster,11:39:00,02:15:00
20,page 2,click (2373 851),,LA Union - Metrolink CMF (Non-Revenue),11:53:00,00:15:00
21,page 3,click (2373 506),,VC 109: LA Union - Burbank,12:43:00,00:19:00
22,page 3,click (2373 575),,AV 219: LA Union - Via Princessa,14:39:00,01:09:00
23,page 3,click (2373 644),,VC 115: LA Union - Burbank,15:37:00,00:18:00
24,page 3,click (2373 713),,AV 221: LA Union - Lancaster (Part 1),15:39:00,01:16:00
25,page 3,click (2373 782),,VC 117: LA Union - Burbank,16:28:00,00:20:00
26,page 3,click (2373 851),,LA Union - Metrolink CMF (Non-Revenue),16:30:00,00:33:00
27,page 4,click (2373 506),,AV 223: LA Union - Lancaster (Part 1),16:39:00,01:16:00
28,page 4,click (2373 575),,AV 221: LA Union - Lancaster (Part 2),16:58:00,00:56:00
29,page 4,click (2373 644),,LA Union - Metrolink CMF (Non-Revenue),17:28:00,00:40:00
30,page 4,click (2373 713),,AV 225: LA Union - Lancaster (Part 1),17:39:00,01:16:00
31,page 4,click (2373 782),,VC 121: LA Union - Burbank,17:57:00,00:21:00
32,page 4,click (2373 851),,AV 223: LA Union - Lancaster (Part 2),17:58:00,00:56:00
33,page 5,click (2373 506),,AV 227: LA Union - Lancaster (Part 1),18:39:00,01:16:00
34,page 5,click (2373 575),,VC 123: LA Union - Burbank,18:50:00,00:19:00
35,page 5,click (2373 644),,AV 225: LA Union - Lancaster (Part 2),18:58:00,00:56:00
36,page 5,click (2373 713),,AV 229: LA Union - Lancaster (Part 1),19:39:00,01:16:00
37,page 5,click (2373 782),,AV 227: LA Union - Lancaster (Part 2),19:58:00,00:56:00
38,page 5,click (2373 851),,LA Union - Metrolink CMF (Non-Revenue),20:23:00,00:35:00
39,page 6,click (2373 713),,AV 231: LA Union - Lancaster (Part 1),20:39:00,01:16:00
40,page 6,click (2373 782),,AV 229: LA Union - Lancaster (Part 2),20:58:00,00:56:00
41,page 6,click (2373 851),,AV 231: LA Union - Lancaster (Part 2),21:58:00,00:56:00
