number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,AV 200: Lancaster - LA Union (Part 1),03:41:00,01:12:00
2,page 0,click (2373 437),,Lancaster Siding - Lancaster (Non-Revenue),04:25:00,00:03:00
3,page 0,click (2373 506),,AV 202: Lancaster - LA Union (Part 1),04:41:00,01:26:00
4,page 0,click (2373 575),,Lancaster Siding - Lancaster (Non-Revenue),04:55:00,00:05:00
5,page 0,click (2373 644),,AV 204: Lancaster - LA Union (Part 1),05:09:00,01:22:00
6,page 0,click (2373 713),,AV 200: Lancaster - LA Union (Part 2),05:09:00,00:50:00
7,page 0,click (2373 782),,VC 100: Ventura - LA Union,05:55:00,00:19:00
8,page 0,click (2373 851),,Lancaster Siding - Lancaster (Non-Revenue),05:55:00,00:06:00
9,page 1,click (2373 506),,AV 206: Lancaster - LA Union (Part 1),06:11:00,01:12:00
10,page 1,click (2373 575),,AV 202: Lancaster - LA Union (Part 2),06:11:00,00:57:00
11,page 1,click (2373 644),,AV 204: Lancaster - LA Union (Part 2),06:34:00,00:57:00
12,page 1,click (2373 713),,VC 102: Ventura - LA Union,06:50:00,00:19:00
13,page 1,click (2373 782),,Lancaster Siding - Lancaster (Non-Revenue),06:55:00,00:08:00
14,page 1,click (2373 851),,Metrolink CMF - LA Union (Non-Revenue),07:00:00,00:16:00
15,page 2,click (2373 506),,AV 208: Lancaster - LA Union (Part 1),07:11:00,01:12:00
16,page 2,click (2373 575),,AV 206: Lancaster - LA Union (Part 2),07:37:00,00:51:00
17,page 2,click (2373 644),,AV 208: Lancaster - LA Union (Part 2),08:37:00,00:51:00
18,page 2,click (2373 713),,VC 108: Ventura - LA Union,08:55:00,00:19:00
19,page 2,click (2373 782),,AV 212: Lancaster - LA Union,09:11:00,02:04:00
20,page 2,click (2373 851),,AV 210: Via Princessa - LA Union,09:15:00,01:06:00
21,page 3,click (2373 506),,VC 100: Ventura - LA Union,09:22:00,00:18:00
22,page 3,click (2373 575),,VC 112: Ventura - LA Union,11:27:00,00:19:00
23,page 3,click (2373 644),,Metrolink CMF - LA Union (Non-Revenue),12:00:00,00:12:00
24,page 3,click (2373 713),,AV 218: Lancaster - LA Union (Part 1),12:05:00,02:22:00
25,page 3,click (2373 782),,Metrolink CMF - LA Union (Non-Revenue),12:20:00,00:15:00
26,page 3,click (2373 851),,AV 222: Lancaster - LA Union,14:11:00,01:20:00
27,page 4,click (2373 506),,Metrolink CMF - LA Union (Non-Revenue),15:00:00,00:12:00
28,page 4,click (2373 575),,VC 116: Ventura - LA Union,15:13:00,00:19:00
29,page 4,click (2373 644),,Metrolink CMF - LA Union (Non-Revenue),15:15:00,00:14:00
30,page 4,click (2373 713),,AV 222: Lancaster - LA Union (Part 2),15:34:00,00:49:00
31,page 4,click (2373 782),,Metrolink CMF - LA Union (Non-Revenue),16:00:00,00:10:00
32,page 4,click (2373 851),,AV 224: Via Princessa - LA Union,16:15:00,01:06:00
33,page 5,click (2373 506),,Metrolink CMF - LA Union (Non-Revenue),17:30:00,00:14:00
34,page 5,click (2373 575),,Metrolink CMF - LA Union (Non-Revenue),17:50:00,00:10:00
35,page 5,click (2373 644),,VC 118: Ventura - LA Union,18:06:00,00:19:00
36,page 5,click (2373 713),,Metrolink CMF - LA Union (Non-Revenue),18:10:00,00:10:00
37,page 5,click (2373 782),,AV 230: Lancaster - LA Union (Part 1),18:11:00,01:12:00
38,page 5,click (2373 851),,Metrolink CMF - LA Union (Non-Revenue),18:30:00,00:12:00
39,page 6,click (2373 713),,AV 230: Lancaster - LA Union (Part 2),19:26:00,00:50:00
40,page 6,click (2373 782),,Metrolink CMF - LA Union (Non-Revenue),20:15:00,00:17:00
41,page 6,click (2373 851),,Metrolink CMF - LA Union (Non-Revenue),21:15:00,00:12:00
