number,page,click,service_id,service_name,time,duration
1,page 0,click (1391 865),,Amtrak Northeast Regional #95 (Boston - Providence),06:09:00,00:42:00
2,page 0,click (1391 938),,Amtrak Northeast Regional #66 (Providence - Boston),06:57:00,00:42:00
3,page 0,click (1391 1011),,Amtrak Northeast Regional #171 (Boston - Providence),07:59:00,00:39:00
4,page 0,click (1391 1084),,Amtrak Northeast Regional #66 (Boston - Depot),08:14:00,00:17:00
5,page 0,click (1391 1157),,Amtrak Northeast Regional #93 (Boston - Providence),09:29:00,00:39:00
6,page 0,click (1391 1230),,Amtrak Northeast Regional #190 (Providence - Boston),10:30:00,00:48:00
7,page 0,click (1391 1303),,Amtrak Northeast Regional #173 (Boston - Providence),11:09:00,00:36:00
8,page 0,click (1391 1376),,Amtrak Northeast Regional #190 (Boston - Depot),11:56:00,00:21:00
9,page 1,click (1391 1011),,Amtrak Northeast Regional #170 (Providence - Boston),12:15:00,00:42:00
10,page 1,click (1391 1084),,Amtrak Northeast Regional #170 (Boston - Depot),13:14:00,00:22:00
11,page 1,click (1391 1157),,Amtrak Northeast Regional #172 (Providence - Boston),14:41:00,00:42:00
12,page 1,click (1391 1230),,Amtrak Northeast Regional #175 (Boston - Providence),15:14:00,00:39:00
13,page 1,click (1391 1303),,Amtrak Northeast Regional #172 (Boston - Depot),15:34:00,00:24:00
14,page 1,click (1391 1376),,Amtrak Northeast Regional #86 (Providence - Boston),15:56:00,00:42:00
15,page 2,click (1391 1011),,Amtrak Northeast Regional #86 (Boston - Depot),16:50:00,00:28:00
16,page 2,click (1391 1084),,Amtrak Northeast Regional #174 (Providence - Boston),17:35:00,00:49:00
17,page 2,click (1391 1157),,Amtrak Northeast Regional #177 (Boston - Providence),17:49:00,00:56:00
18,page 2,click (1391 1230),,Amtrak Northeast Regional #179 (Boston - Providence),18:44:00,00:39:00
19,page 2,click (1391 1303),,Amtrak Northeast Regional #174 (Boston - Depot),18:49:00,00:25:00
20,page 2,click (1391 1376),,Amtrak Northeast Regional #176 (Providence - Boston),19:30:00,00:45:00
21,page 3,click (1391 1157),,Amtrak Northeast Regional #176 (Boston - Southampton),20:24:00,00:21:00
22,page 3,click (1391 1230),,Amtrak Lake Shore Limited (Boston - Depot),20:40:00,00:25:00
23,page 3,click (1391 1303),,Amtrak Northeast Regional #94 (Providence - Boston),21:23:00,00:39:00
24,page 3,click (1391 1376),,Amtrak Northeast Regional #94 (Boston - Depot),22:20:00,00:26:00
