number,page,click,service_id,service_name,time,duration
1,page 0,click (1391 865),,Amtrak Acela Express #2151 (Boston - Providence),04:57:00,00:41:00
2,page 0,click (1391 938),,Amtrak Acela Express #2153 (Boston - Providence),05:57:00,00:39:00
3,page 0,click (1391 1011),,Amtrak Acela Express #2155 (Boston - Providence),07:12:00,00:39:00
4,page 0,click (1391 1084),,Amtrak Acela Express #2159 (Boston - Providence),08:57:00,00:43:00
5,page 0,click (1391 1157),,Amtrak Acela Express #2190 (Providence - Boston),09:27:00,00:40:00
6,page 0,click (1391 1230),,Amtrak Acela Express #2163 (Boston - Providence),10:58:00,00:38:00
7,page 0,click (1391 1303),,Amtrak Acela Express #2150 (Providence - Boston),11:04:00,00:39:00
8,page 0,click (1391 1376),,Amtrak Acela Express #2165 (Boston - Providence),12:02:00,00:41:00
9,page 1,click (1391 1011),,Amtrak Acela Express #2167 (Boston - Providence),12:57:00,00:40:00
10,page 1,click (1391 1084),,Amtrak Acela Express #2154 (Providence - Boston),13:02:00,00:40:00
11,page 1,click (1391 1157),,Amtrak Acela Express #2171 (Boston - Providence),15:02:00,00:40:00
12,page 1,click (1391 1230),,Amtrak Acela Express #2158 (Providence - Boston),15:39:00,00:46:00
13,page 1,click (1391 1303),,Amtrak Acela Express #2173 (Boston - Providence),16:07:00,00:40:00
14,page 1,click (1391 1376),,Amtrak Acela Express #2160 (Providence - Boston),16:08:00,01:10:00
15,page 2,click (1391 1011),,Amtrak Acela Express #2175 (Boston - Providence),17:17:00,00:40:00
16,page 2,click (1391 1084),,Amtrak Acela Express #2164 (Providence - Boston),17:58:00,00:48:00
17,page 2,click (1391 1157),,Amtrak Acela Express #2166 (Providence - Boston),19:14:00,00:45:00
18,page 2,click (1391 1230),,Amtrak Acela Express #2168 (Providence - Boston),20:05:00,00:41:00
19,page 2,click (1391 1303),,Amtrak Acela Express #2170 (Providence - Boston),21:00:00,00:41:00
20,page 2,click (1391 1376),,Amtrak Acela Express #2172 (Providence - Boston),22:10:00,00:41:00
