number,page,click,service_id,service_name,time,duration
1,page 0,click (1391 865),,MBTA Franklin #701 (Depot - Boston),03:00:00,00:08:00
2,page 0,click (1391 938),,MBTA Worcester #501 (Depot - Boston),04:00:00,00:09:00
3,page 0,click (1391 1011),,MBTA Providence #801 (Depot - Boston),04:50:00,00:08:00
4,page 0,click (1391 1084),,MBTA Worcester #583 (Depot - Boston),04:55:00,00:08:00
5,page 0,click (1391 1157),,MBTA Providence #800 (Providence - Boston),04:58:00,01:18:00
6,page 0,click (1391 1230),,MBTA Worcester #503 (Depot - Boston),05:20:00,00:09:00
7,page 0,click (1391 1303),,MBTA Providence #802 (Providence - Boston),05:23:00,01:13:00
8,page 0,click (1391 1376),,MBTA Worcester #505 (Depot - Boston),05:35:00,00:09:00
9,page 1,click (1391 1011),,MBTA Franklin #741 (Depot - Boston),05:58:00,00:09:00
10,page 1,click (1391 1084),,MBTA Providence #804 (Providence - Boston),05:58:00,01:03:00
11,page 1,click (1391 1157),,MBTA Stoughton #900 (Stoughton Layover - Boston),06:17:00,00:37:00
12,page 1,click (1391 1230),,MBTA Providence #806 (Providence - Boston),06:21:00,01:11:00
13,page 1,click (1391 1303),,MBTA Stoughton #902 (Stoughton Layover - Boston),06:48:00,00:42:00
14,page 1,click (1391 1376),,MBTA Franklin #702 (Readville - Boston),06:50:00,00:18:00
15,page 2,click (1391 1011),,MBTA Providence #808 (Providence - Boston),07:11:00,00:59:00
16,page 2,click (1391 1084),,MBTA Attleboro #842 (Attleboro - Boston),07:17:00,00:50:00
17,page 2,click (1391 1157),,MBTA Franklin #704 (Readville - Boston),07:24:00,00:18:00
18,page 2,click (1391 1230),,MBTA Providence #810 (Providence - Boston),07:28:00,01:06:00
19,page 2,click (1391 1303),,MBTA Providence #812 (Providence - Boston),07:48:00,01:04:00
20,page 2,click (1391 1376),,MBTA Franklin #740 (Readville - Boston),08:16:00,00:22:00
21,page 3,click (1391 1011),,MBTA Providence #814 (Providence - Boston),08:23:00,01:17:00
22,page 3,click (1391 1084),,MBTA Stoughton #906 (Stoughton - Boston),08:28:00,00:36:00
23,page 3,click (1391 1157),,MBTA Franklin #708 (Readville - Boston),08:34:00,00:24:00
24,page 3,click (1391 1230),,MBTA Franklin #742 (Readville - Boston),08:49:00,00:20:00
25,page 3,click (1391 1303),,MBTA Stoughton #908 (Stoughton - Boston),09:13:00,00:37:00
26,page 3,click (1391 1376),,MBTA Providence #816 (Providence - Boston),09:49:00,01:08:00
27,page 4,click (1391 1011),,MBTA Worcester #511 (Depot - Boston),09:59:00,00:09:00
28,page 4,click (1391 1084),,MBTA Franklin #710 (Readville - Boston),10:06:00,00:18:00
29,page 4,click (1391 1157),,MBTA Stoughton #910 (Stoughton - Boston),10:38:00,00:37:00
30,page 4,click (1391 1230),,MBTA Providence #811 (Depot - Boston),10:50:00,00:09:00
31,page 4,click (1391 1303),,MBTA Providence #818 (Providence - Boston),11:13:00,01:12:00
32,page 4,click (1391 1376),,MBTA Worcester #513 (Depot - Boston),11:25:00,00:05:00
33,page 5,click (1391 1011),,MBTA Franklin #712 (Readville - Boston),11:38:00,00:18:00
34,page 5,click (1391 1084),,MBTA Stoughton #911 (Depot - Boston),12:50:00,00:09:00
35,page 5,click (1391 1157),,MBTA Franklin #714 (Readville - Boston),13:03:00,00:16:00
36,page 5,click (1391 1230),,MBTA Providence #813 (Depot - Boston),13:05:00,00:08:00
37,page 5,click (1391 1303),,MBTA Providence #820 (Providence - Boston),13:09:00,01:09:00
38,page 5,click (1391 1376),,MBTA Fairmount #767 (Depot - Boston),13:20:00,00:09:00
39,page 6,click (1391 1011),,MBTA Providence #822 (Providence - Boston),13:54:00,01:06:00
40,page 6,click (1391 1084),,MBTA Franklin #713 (Depot - Boston),14:05:00,00:08:00
41,page 6,click (1391 1157),,MBTA Stoughton #912 (Stoughton - Boston),14:13:00,00:33:00
42,page 6,click (1391 1230),,MBTA Franklin #716 (Readville - Boston),14:25:00,00:17:00
43,page 6,click (1391 1303),,MBTA Franklin #715 (Depot - Boston),14:50:00,00:05:00
44,page 6,click (1391 1376),,MBTA Providence #824 (Providence - Boston),15:07:00,01:13:00
45,page 7,click (1391 1011),,MBTA Framingham #591 (Depot - Boston),15:30:00,00:09:00
46,page 7,click (1391 1084),,MBTA Worcester #519 (Depot - Boston),15:40:00,00:09:00
47,page 7,click (1391 1157),,MBTA Franklin #717 (Depot to Boston),15:45:00,00:06:00
48,page 7,click (1391 1230),,MBTA Norwood Central #743 (Depot - Boston),15:50:00,00:10:00
49,page 7,click (1391 1303),,MBTA Providence #821 (Depot - Boston),16:05:00,00:10:00
50,page 7,click (1391 1376),,MBTA Needham #617 (Depot - Boston),16:23:00,00:08:00
51,page 8,click (1391 1011),,MBTA Worcester #521 (Depot - Boston),16:24:00,00:11:00
52,page 8,click (1391 1084),,MBTA Stoughton #914 (Stoughton - Boston),16:28:00,00:36:00
53,page 8,click (1391 1157),,MBTA Franklin #745 (Depot - Boston),16:30:00,00:07:00
54,page 8,click (1391 1230),,MBTA Stoughton #917 (Depot - Boston),16:46:00,00:11:00
55,page 8,click (1391 1303),,MBTA Needham #619 (Depot to Boston),16:55:00,00:05:00
56,page 8,click (1391 1376),,MBTA Providence #825 (Depot - Boston),17:11:00,00:08:00
57,page 9,click (1391 1011),,MBTA Providence #828 (Providence - Boston),17:18:00,01:03:00
58,page 9,click (1391 1084),,MBTA Stoughton #916 (Stoughton - Boston),17:18:00,00:39:00
59,page 9,click (1391 1157),,MBTA Providence #827 (Depot - Boston),17:40:00,00:15:00
60,page 9,click (1391 1230),,MBTA Worcester #525 (Depot - Boston),17:46:00,00:10:00
61,page 9,click (1391 1303),,MBTA Franklin #722 (Readville - Boston),17:51:00,00:23:00
62,page 9,click (1391 1376),,MBTA Providence #830 (Providence - Boston),18:00:00,01:07:00
63,page 10,click (1391 1011),,MBTA Stoughton #918 (Stoughton - Boston),18:14:00,00:41:00
64,page 10,click (1391 1084),,MBTA Franklin #746 (Readville - Boston),18:59:00,00:21:00
65,page 10,click (1391 1157),,MBTA Stoughton #920 (Stoughton Layover - Boston),19:17:00,00:42:00
66,page 10,click (1391 1230),,MBTA Providence #832 (Providence - Boston),19:24:00,01:12:00
67,page 10,click (1391 1303),,MBTA Stoughton #922 (Stoughton Layover - Boston),19:37:00,00:31:00
68,page 10,click (1391 1376),,MBTA Providence #834 (Providence - Boston),20:14:00,01:11:00
69,page 11,click (1391 1011),,MBTA Franklin #726 (Readville - Boston),20:25:00,00:18:00
70,page 11,click (1391 1084),,MBTA Stoughton #924 (Stoughton - Boston),20:33:00,00:33:00
71,page 11,click (1391 1157),,MBTA Stoughton #925 (Depot - Boston),21:10:00,00:05:00
72,page 11,click (1391 1230),,MBTA Providence #836 (Providence - Boston),21:28:00,01:13:00
73,page 11,click (1391 1303),,MBTA Franklin #728 (Readville - Boston),22:20:00,00:22:00
74,page 11,click (1391 1376),,MBTA Providence #838 (Providence - Boston),22:28:00,01:11:00
75,page 12,click (1391 1303),,MBTA Stoughton #926 (Stoughton - Boston),22:33:00,00:38:00
76,page 12,click (1391 1376),,MBTA Franklin #730 (Readville - Boston),23:25:00,00:20:00
