number,page,click,service_id,service_name,time,duration
9,page 1,click (2373 506),,MBTA Providence #804 (Providence - Boston),05:58:00,01:03:00
10,page 1,click (2373 575),,MBTA Franklin #741 (Depot - Boston),05:58:00,00:09:00
11,page 1,click (2373 644),,MBTA Franklin #700 (Readville - Boston),06:12:00,00:24:00
12,page 1,click (2373 713),,MBTA Stoughton #900 (Stoughton Layover - Boston),06:17:00,00:36:00
13,page 1,click (2373 782),,MBTA Providence #806 (Providence - Boston),06:21:00,01:09:00
14,page 1,click (2373 851),,MBTA Stoughton #902 (Stoughton Layover - Boston),06:42:00,00:47:00
17,page 2,click (2373 644),,MBTA Providence #808 (Providence - Boston),07:11:00,00:57:00
18,page 2,click (2373 713),,MBTA Franklin #704 (Readville - Boston),07:24:00,00:18:00
19,page 2,click (2373 782),,MBTA Providence #810 (Providence - Boston),07:28:00,01:06:00
20,page 2,click (2373 851),,MBTA Stoughton #904 (Stoughton - Boston),07:48:00,00:41:00
21,page 3,click (2373 506),,MBTA Providence #812 (Providence - Boston),07:48:00,01:04:00
22,page 3,click (2373 575),,MBTA Franklin #740 (Readville - Boston),08:05:00,00:32:00
23,page 3,click (2373 644),,MBTA Providence #814 (Providence - Boston),08:23:00,01:16:00
24,page 3,click (2373 713),,MBTA Stoughton #906 (Stoughton - Boston),08:28:00,00:35:00
25,page 3,click (2373 782),,MBTA Franklin #708 (Readville - Boston),08:34:00,00:34:00
26,page 3,click (2373 851),,MBTA Franklin #742 (Readville - Boston),08:49:00,00:20:00
27,page 4,click (2373 506),,MBTA Stoughton #908 (Stoughton - Boston),09:13:00,00:37:00
28,page 4,click (2373 575),,MBTA Providence #816 (Providence - Boston),09:49:00,01:07:00
29,page 4,click (2373 644),,MBTA Worcester #511 (Depot - Boston),09:59:00,00:09:00
30,page 4,click (2373 713),,MBTA Franklin #710 (Readville - Boston),10:06:00,00:18:00
31,page 4,click (2373 782),,MBTA Stoughton #910 (Stoughton - Boston),10:38:00,00:37:00
32,page 4,click (2373 851),,MBTA Providence #811 (Depot - Boston),10:50:00,00:09:00
33,page 5,click (2373 506),,MBTA Providence #818 (Providence - Boston),11:13:00,01:12:00
34,page 5,click (2373 575),,MBTA Worcester #513 (Depot - Boston),11:25:00,00:05:00
35,page 5,click (2373 644),,MBTA Franklin #712 (Readville - Boston),11:38:00,00:18:00
