Service 024 | DUPLICATE | Amtrak Northeast Regional #94 (Boston - Depot) 22:20 00:26 | Train 1 | ACS-64 V AMTK50
Service 031 | DUPLICATE | MBTA Providence #818 (Providence - Boston) 11:13 01:12 | Train 1 | CTC-3 MBTA
Service 036 | DUPLICATE | MBTA Needham #614 (Mid-Day Storage) 13:49 00:05 | Train 1 | F40PH-3C MBTA
Service 043 | DUPLICATE | MBTA Franklin #718 (Boston - Depot) 16:07 00:08 | Train 1 | F40PH-3C MBTA
Service 062 | DUPLICATE | MBTA Providence #833 (Boston - Providence) 20:28 01:14 | Train 1 | F40PH-3C MBTA
Service 071 | DUPLICATE | MBTA Providence #836 (Overnight Storage) 23:03 00:08 | Train 1 | F40PH-3C MBTA
Service 041 | DUPLICATE | MBTA Providence #820 (Boston - Depot) 14:35 00:11 | Train 2 | F40PH-3C MBTA
Service 042 | DUPLICATE | MBTA Franklin #713 (Boston - Readville) 14:38 00:20 | Train 2 | F40PH-3C MBTA
Service 043 | DUPLICATE | MBTA Franklin #716 (Boston - Depot) 14:54 00:05 | Train 2 | F40PH-3C MBTA
Service 044 | DUPLICATE | MBTA Providence #817 (Boston - Providence) 15:23 01:02 | Train 2 | F40PH-3C MBTA
Service 044 | DUPLICATE | MBTA Providence #817 (Boston - Providence) 15:23 01:02 | Train 2 | F40PH-3C MBTA
Service 045 | DUPLICATE | MBTA Stoughton #913 (Boston - Stoughton) 15:33 00:43 | Train 2 | F40PH-3C MBTA
Service 046 | DUPLICATE | MBTA Providence #819 (Boston - Providence) 15:53 01:00 | Train 2 | F40PH-3C MBTA
Service 047 | DUPLICATE | MBTA Franklin #718 (Boston - Depot) 16:07 00:08 | Train 2 | F40PH-3C MBTA
Service 048 | DUPLICATE | MBTA Norwood Central #743 (Boston - Readville) 16:13 00:22 | Train 2 | F40PH-3C MBTA
Service 049 | DUPLICATE | MBTA Stoughton #915 (Boston - Stoughton) 16:18 00:39 | Train 2 | F40PH-3C MBTA
Service 050 | DUPLICATE | MBTA Providence #821 (Boston - Providence) 16:28 01:05 | Train 2 | F40PH-3C MBTA
Service 051 | DUPLICATE | MBTA Providence #823 (Boston - Providence) 16:51 01:05 | Train 2 | F40PH-3C MBTA
Service 052 | DUPLICATE | MBTA Franklin #745 (Boston - Readville) 17:00 00:22 | Train 2 | F40PH-3C MBTA
Service 053 | DUPLICATE | MBTA Stoughton #917 (Boston - Stoughton) 17:10 00:46 | Train 2 | F40PH-3C MBTA
Service 054 | DUPLICATE | MBTA Providence #825 (Boston - Providence) 17:38 01:00 | Train 2 | F40PH-3C MBTA
Service 055 | DUPLICATE | MBTA Stoughton #919 (Boston - Stoughton) 17:49 00:50 | Train 2 | F40PH-3C MBTA
Service 056 | DUPLICATE | MBTA Providence #827 (Boston - Providence) 18:08 01:00 | Train 2 | F40PH-3C MBTA
Service 057 | DUPLICATE | MBTA Franklin #723 (Boston - Readville) 18:18 00:20 | Train 2 | F40PH-3C MBTA
Service 058 | DUPLICATE | MBTA Stoughton #921 (Boston - Stoughton) 18:26 00:45 | Train 2 | F40PH-3C MBTA
Service 059 | DUPLICATE | MBTA Providence #829 (Boston - Providence) 18:48 01:11 | Train 2 | F40PH-3C MBTA
Service 060 | DUPLICATE | MBTA Stoughton #923 (Boston - Stoughton) 19:18 00:42 | Train 2 | F40PH-3C MBTA
Service 061 | DUPLICATE | MBTA Providence #831 (Boston - Providence) 19:28 01:07 | Train 2 | F40PH-3C MBTA
Service 062 | DUPLICATE | MBTA Providence #830 (Overnight Storage) 19:36 00:09 | Train 2 | F40PH-3C MBTA
Service 063 | DUPLICATE | MBTA Franklin #746 (Mid-Day Storage) 19:39 00:05 | Train 2 | F40PH-3C MBTA
Service 064 | DUPLICATE | MBTA Franklin #725 (Boston - Readville) 19:43 00:20 | Train 2 | F40PH-3C MBTA
Service 065 | DUPLICATE | MBTA Fairmount #780 (Overnight Storage) 20:05 00:09 | Train 2 | F40PH-3C MBTA
Service 066 | DUPLICATE | MBTA Providence #833 (Boston - Providence) 20:28 01:14 | Train 2 | F40PH-3C MBTA
