number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),AM178EQ,AM178EQ Boston South Station to Southampton Yard,00:39:00,00:23:00
2,page 0,click (2373 437),AM66EQ,AM66EQ Boston South Station to Southampton Yard,08:14:00,00:27:00
3,page 0,click (2373 506),AM190EQ,AM190EQ Boston South Station to Southampton Yard,11:37:00,00:11:00
4,page 0,click (2373 575),AM170EQ,AM170EQ Boston South Station to Southampton Yard,13:22:00,00:00:00
5,page 0,click (2373 644),AM172EQ,AM172EQ Boston South Station to Southampton Yard,15:37:00,00:00:00
6,page 0,click (2373 713),AM86EQ,AM86EQ Boston South Station to Southampton Yard,17:07:00,00:16:00
7,page 0,click (2373 782),AM174EQ,AM174EQ Boston South Station to Southampton Yard,18:52:00,00:00:00
8,page 0,click (2373 851),AM176EQ,AM176EQ Boston South Station to Southampton Yard,20:44:00,00:12:00
9,page 1,click (2373 782),AM94EQ,AM94EQ Boston South Station to Southampton Yard,22:34:00,00:00:00
10,page 1,click (2373 851),AM178EQ,AM178EQ Boston South Station to Southampton Yard,00:39:00,00:00:00
