number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),MT537EQ,MT537EQ Worcester - Worcester Yard (Part 2),01:15:00,00:06:00
2,page 0,click (2373 437),MT500EQ,MT500EQ Worcester Yard - Worcester (Part 2),04:25:00,00:06:00
3,page 0,click (2373 506),P501,P501 Boston South Station to Worcester,04:38:00,01:23:00
4,page 0,click (2373 575),MT502EQ,MT502EQ Worcester Yard - Worcester (Part 2),05:00:00,00:06:00
5,page 0,click (2373 644),6581,6581 Boston South Station to Framingham,05:11:00,00:31:00
6,page 0,click (2373 713),P583,P583 Boston South Station to Framingham,05:28:00,00:49:00
7,page 0,click (2373 782),MT504EQ,MT504EQ Worcester Yard - Worcester (Part 2),05:35:00,00:06:00
8,page 0,click (2373 851),P503,P503 Boston South Station to Worcester,05:53:00,01:13:00
9,page 1,click (2373 506),P505,P505 Boston South Station to Worcester,06:08:00,01:23:00
10,page 1,click (2373 575),6585,6585 Boston South Station to Framingham,06:28:00,00:32:00
11,page 1,click (2373 644),MT508EQ,MT508EQ Worcester Yard - Worcester (Part 2),06:42:00,00:06:00
12,page 1,click (2373 713),P587,P587 Boston South Station to Framingham,06:46:00,00:49:00
13,page 1,click (2373 782),MT600EQ,MT600EQ Boston South Station - Southampton Street Yard,07:11:00,00:10:00
14,page 1,click (2373 851),MT004EQ,MT004EQ Boston South Station - Southampton Street Yard,07:12:00,00:10:00
15,page 2,click (2373 506),P507,P507 Boston South Station to Worcester,07:18:00,01:12:00
16,page 2,click (2373 575),MT034EQ,MT034EQ Boston South Station - Southampton Street Yard,07:22:00,00:10:00
17,page 2,click (2373 644),P589,P589 Boston South Station to Ashland,07:28:00,00:52:00
18,page 2,click (2373 713),MT806EQ,MT806EQ Boston South Station - Southampton Street Yard,07:42:00,00:10:00
19,page 2,click (2373 782),MT074EQ,MT074EQ Boston South Station - Southampton Street Yard,08:12:00,00:10:00
20,page 2,click (2373 851),MT036EQ,MT036EQ Boston South Station - Southampton Street Yard,08:16:00,00:10:00
21,page 3,click (2373 506),MT808EQ,MT808EQ Boston South Station - Southampton Street Yard,08:26:00,00:10:00
22,page 3,click (2373 575),MT810EQ,MT810EQ Boston South Station - Southampton Street Yard,08:38:00,00:10:00
23,page 3,click (2373 644),MT740EQ,MT740EQ Boston South Station - Southampton Street Yard,08:44:00,00:10:00
24,page 3,click (2373 713),P509,P509 Boston South Station to Worcester,08:48:00,01:24:00
25,page 3,click (2373 782),MT588EQ,MT588EQ Boston South Station - Southampton Street Yard,08:55:00,00:05:00
26,page 3,click (2373 851),MT756EQ,MT756EQ Boston South Station - Southampton Street Yard,09:22:00,00:09:00
27,page 4,click (2373 506),MT608EQ,MT608EQ Boston South Station - Southampton Street Yard,09:42:00,00:10:00
28,page 4,click (2373 575),,"Geometry Extra Boston, MA - Worcester, MA",09:54:00,00:00:00
29,page 4,click (2373 644),P511,P511 Boston South Station to Worcester,10:13:00,01:31:00
30,page 4,click (2373 713),MT710EQ,MT710EQ Boston South Station - Southampton Street Yard,10:32:00,00:10:00
31,page 4,click (2373 782),MT512EQ,MT512EQ Boston South Station - Southampton Street Yard,10:37:00,00:08:00
32,page 4,click (2373 851),MT910EQ,MT910EQ Boston South Station - Southampton Street Yard,11:27:00,00:10:00
33,page 5,click (2373 506),,"Extra Southampton, MA - Worcester, MA",11:37:00,00:19:00
34,page 5,click (2373 575),,"Extra Grafton, MA - Readville Yard, MA",11:47:00,00:00:00
35,page 5,click (2373 644),P513,P513 Boston South Station to Worcester,11:53:00,01:31:00
36,page 5,click (2373 713),MT514EQ,MT514EQ Boston South Station - Southampton Street Yard,12:17:00,00:05:00
37,page 5,click (2373 782),,Geometry Extra Boston South Station - Southampton Street,12:41:00,00:10:00
38,page 5,click (2373 851),MT714EQ,MT714EQ Boston South Station - Southampton Street Yard,13:46:00,00:10:00
39,page 6,click (2373 506),MT516EQ,MT516EQ Boston South Station - Southampton Street Yard,13:47:00,00:06:00
40,page 6,click (2373 575),P515,P515 Boston South Station to Worcester,13:53:00,01:31:00
41,page 6,click (2373 644),P517,P517 Boston South Station to Worcester,15:28:00,01:35:00
42,page 6,click (2373 713),P519,P519 Boston South Station to Worcester,16:18:00,01:26:00
43,page 6,click (2373 782),P591,P591 Boston South Station to Framingham,16:28:00,00:54:00
44,page 6,click (2373 851),P521,P521 Boston South Station to Worcester,16:58:00,01:26:00
45,page 7,click (2373 506),P593,P593 Boston South Station to Framingham,17:08:00,00:58:00
46,page 7,click (2373 575),P523,P523 Boston South Station to Worcester,17:38:00,01:25:00
47,page 7,click (2373 644),P595,P595 Boston South Station to Framingham,17:48:00,00:55:00
48,page 7,click (2373 713),P525,P525 Boston South Station to Worcester,18:13:00,01:30:00
49,page 7,click (2373 782),P527,P527 Boston South Station to Worcester,18:43:00,01:31:00
50,page 7,click (2373 851),MT521EQ,MT521EQ Worcester - Worcester Yard (Part 2),18:47:00,00:04:00
51,page 8,click (2373 506),P551,P551 Boston South Station to Worcester,19:33:00,01:11:00
52,page 8,click (2373 575),P529,P529 Boston South Station to Worcester,19:43:00,01:31:00
53,page 8,click (2373 644),MT525EQ,MT525EQ Worcester - Worcester Yard (Part 2),20:02:00,00:06:00
54,page 8,click (2373 713),P531,P531 Boston South Station to Worcester,20:33:00,01:31:00
55,page 8,click (2373 782),P533,P533 Boston South Station to Worcester,21:33:00,01:31:00
56,page 8,click (2373 851),MT531EQ,MT531EQ Worcester - Worcester Yard (Part 2),22:26:00,00:06:00
57,page 9,click (2373 713),P535,P535 Boston South Station to Worcester,22:28:00,01:31:00
58,page 9,click (2373 782),P537,P537 Boston South Station to Worcester,23:28:00,01:31:00
