number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,Worcester - Worcester Yard (Part 2),01:15:00,00:06:00
3,page 0,click (2373 506),,Boston South Station to Worcester,04:38:00,01:23:00
4,page 0,click (2373 575),,Worcester Yard - Worcester (Part 2),05:00:00,00:06:00
7,page 0,click (2373 782),,Worcester Yard - Worcester (Part 2),05:35:00,00:06:00
11,page 1,click (2373 644),,Worcester Yard - Worcester (Part 2),06:42:00,00:06:00
12,page 1,click (2373 713),,Boston South Station to Framingham,06:46:00,00:49:00
17,page 2,click (2373 644),,Boston South Station to Ashland,07:28:00,00:52:00
18,page 2,click (2373 713),,Boston South Station - Southampton Street Yard,07:42:00,00:10:00
21,page 3,click (2373 506),,Boston South Station - Southampton Street Yard,08:26:00,00:10:00
22,page 3,click (2373 575),,Boston South Station - Southampton Street Yard,08:38:00,00:10:00
25,page 3,click (2373 782),,Boston South Station - Southampton Street Yard,08:55:00,00:05:00
29,page 4,click (2373 644),,Boston South Station to Worcester,10:13:00,01:31:00
39,page 6,click (2373 506),,Boston South Station - Southampton Street Yard,13:47:00,00:06:00
42,page 6,click (2373 713),,Boston South Station to Worcester,16:18:00,01:26:00
44,page 6,click (2373 851),,Boston South Station to Worcester,16:58:00,01:26:00
46,page 7,click (2373 575),,Boston South Station to Worcester,17:38:00,01:25:00
48,page 7,click (2373 713),,Boston South Station to Worcester,18:13:00,01:30:00
50,page 7,click (2373 851),,Worcester - Worcester Yard (Part 2),18:47:00,00:04:00
52,page 8,click (2373 575),,Boston South Station to Worcester,19:43:00,01:31:00
53,page 8,click (2373 644),,Worcester - Worcester Yard (Part 2),20:02:00,00:06:00
55,page 8,click (2373 782),,Boston South Station to Worcester,21:33:00,01:31:00
58,page 9,click (2373 782),,Boston South Station to Worcester,23:28:00,01:31:00
