Service #1 | MT537EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_001
Service #1 | DUPLICATE | MT537EQ Worcester - Worcester Yard (Part 2) 01:15 00:06
Service #2 | MT500EQ Worcester Yard - Worcester (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_002
Service #2 | DUPLICATE | MT500EQ Worcester Yard - Worcester (Part 2) 04:25 00:06
Service #3 | P501 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_003
Service #3 | DUPLICATE | P501 Boston South Station to Worcester 04:38 01:23
Service #4 | MT502EQ Worcester Yard - Worcester (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_004
Service #4 | DUPLICATE | MT502EQ Worcester Yard - Worcester (Part 2) 05:00 00:06
Service #5 | 6581 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_005
Service #5 | DUPLICATE | 6581 Boston South Station to Framingham 05:11 00:31
Service #6 | P583 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_006
Service #6 | DUPLICATE | P583 Boston South Station to Framingham 05:28 00:49
Service #7 | MT504EQ Worcester Yard - Worcester (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_007
Service #7 | DUPLICATE | MT504EQ Worcester Yard - Worcester (Part 2) 05:35 00:06
Service #8 | P503 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_008
Service #8 | DUPLICATE | P503 Boston South Station to Worcester 05:53 01:13
Service #9 | P505 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_009
Service #9 | DUPLICATE | P505 Boston South Station to Worcester 06:08 01:23
Service #10 | 6585 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_010
Service #10 | DUPLICATE | 6585 Boston South Station to Framingham 06:28 00:32
Service #11 | MT508EQ Worcester Yard - Worcester (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_011
Service #11 | DUPLICATE | MT508EQ Worcester Yard - Worcester (Part 2) 06:42 00:06
Service #12 | P587 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_012
Service #12 | DUPLICATE | P587 Boston South Station to Framingham 06:46 00:49
Service #13 | MT600EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_013
Service #13 | DUPLICATE | MT600EQ Boston South Station - Southampton Street Yard 07:11 00:10
Service #14 | MT004EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_014
Service #14 | DUPLICATE | MT004EQ Boston South Station - Southampton Street Yard 07:12 00:10
Service #15 | P507 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_015
Service #15 | DUPLICATE | P507 Boston South Station to Worcester 07:18 01:12
Service #16 | MT034EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_016
Service #16 | DUPLICATE | MT034EQ Boston South Station - Southampton Street Yard 07:22 00:10
Service #17 | P589 Boston South Station to Ashland | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_017
Service #17 | DUPLICATE | P589 Boston South Station to Ashland 07:28 00:52
Service #18 | MT806EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_018
Service #18 | DUPLICATE | MT806EQ Boston South Station - Southampton Street Yard 07:42 00:10
Service #19 | MT074EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_019
Service #19 | DUPLICATE | MT074EQ Boston South Station - Southampton Street Yard 08:12 00:10
Service #20 | MT036EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_020
Service #20 | DUPLICATE | MT036EQ Boston South Station - Southampton Street Yard 08:16 00:10
Service #21 | MT808EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_021
Service #21 | DUPLICATE | MT808EQ Boston South Station - Southampton Street Yard 08:26 00:10
Service #22 | MT810EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_022
Service #22 | DUPLICATE | MT810EQ Boston South Station - Southampton Street Yard 08:38 00:10
Service #23 | MT740EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_023
Service #23 | DUPLICATE | MT740EQ Boston South Station - Southampton Street Yard 08:44 00:10
Service #24 | P509 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_024
Service #24 | DUPLICATE | P509 Boston South Station to Worcester 08:48 01:24
Service #25 | MT588EQ Boston South Station - Southampton Street Yard | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_01\service_025
Service #25 | DUPLICATE | MT588EQ Boston South Station - Southampton Street Yard 08:55 00:05
