number,page,click,service_id,service_name,time,duration
42,page 6,click (2373 713),,Boston South Station to Worcester,16:58:00,01:26:00
43,page 6,click (2373 782),,Boston South Station to Framingham,17:08:00,00:58:00
44,page 6,click (2373 851),,Boston South Station to Worcester,17:38:00,01:25:00
45,page 7,click (2373 506),,Boston South Station to Framingham,17:48:00,00:55:00
46,page 7,click (2373 575),,Boston South Station to Worcester,18:13:00,01:30:00
47,page 7,click (2373 644),,Boston South Station to Worcester,18:43:00,01:31:00
48,page 7,click (2373 713),,Worcester - Worcester Yard (Part 2),18:47:00,00:04:00
49,page 7,click (2373 782),,Boston South Station to Worcester,19:33:00,01:11:00
50,page 7,click (2373 851),,Boston South Station to Worcester,19:43:00,01:31:00
51,page 8,click (2373 506),,Worcester - Worcester Yard (Part 2),20:02:00,00:06:00
52,page 8,click (2373 575),,Boston South Station to Worcester,20:33:00,01:31:00
53,page 8,click (2373 644),,Boston South Station to Worcester,21:33:00,01:31:00
54,page 8,click (2373 713),,Worcester - Worcester Yard (Part 2),22:26:00,00:06:00
55,page 8,click (2373 782),,Boston South Station to Worcester,22:28:00,01:31:00
56,page 8,click (2373 851),,Boston South Station to Worcester,23:28:00,01:31:00
