Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #42 | P521 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_042
Service #42 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26
Service #43 | P593 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_043
Service #43 | DUPLICATE | P593 Boston South Station to Framingham 17:08 00:58
Service #44 | P523 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_044
Service #44 | DUPLICATE | P523 Boston South Station to Worcester 17:38 01:25
Service #45 | P595 Boston South Station to Framingham | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_045
Service #45 | DUPLICATE | P595 Boston South Station to Framingham 17:48 00:55
Service #46 | P525 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_046
Service #46 | DUPLICATE | P525 Boston South Station to Worcester 18:13 01:30
Service #47 | P527 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_047
Service #47 | DUPLICATE | P527 Boston South Station to Worcester 18:43 01:31
Service #48 | MT521EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_048
Service #48 | DUPLICATE | MT521EQ Worcester - Worcester Yard (Part 2) 18:47 00:04
Service #49 | P551 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_049
Service #49 | DUPLICATE | P551 Boston South Station to Worcester 19:33 01:11
Service #50 | P529 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_050
Service #50 | DUPLICATE | P529 Boston South Station to Worcester 19:43 01:31
Service #51 | MT525EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_051
Service #51 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 2) 20:02 00:06
Service #52 | P531 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_052
Service #52 | DUPLICATE | P531 Boston South Station to Worcester 20:33 01:31
Service #53 | P533 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_053
Service #53 | DUPLICATE | P533 Boston South Station to Worcester 21:33 01:31
Service #54 | MT531EQ Worcester - Worcester Yard (Part 2) | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_054
Service #54 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 2) 22:26 00:06
Service #55 | P535 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_055
Service #55 | DUPLICATE | P535 Boston South Station to Worcester 22:28 01:31
Service #56 | P537 Boston South Station to Worcester | images: C:\Users\hcfai\Desktop\tsw_hud_project_wtf_3\bot\screenshots\Boston Worcester\HSP46 MBTA\train_02\service_056
Service #56 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31
