number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,Worcester to Boston South Station,00:18:00,01:32:00
2,page 0,click (2373 437),,Worcester - Worcester Yard (Part 1),01:07:00,00:03:00
3,page 0,click (2373 506),,Worcester Yard - Worcester (Part 1),04:17:00,00:03:00
4,page 0,click (2373 575),,Worcester to Boston South Station,04:43:00,01:36:00
5,page 0,click (2373 644),,Worcester Yard - Worcester (Part 1),04:52:00,00:03:00
6,page 0,click (2373 713),,Worcester to Boston South Station,05:13:00,01:21:00
7,page 0,click (2373 782),,Framingham to Boston South Station,05:58:00,00:59:00
8,page 0,click (2373 851),,Worcester to Boston South Station,06:20:00,01:24:00
9,page 1,click (2373 506),,Framingham to Boston South Station,06:30:00,01:04:00
10,page 1,click (2373 575),,Worcester Yard - Worcester (Part 1),06:34:00,00:03:00
11,page 1,click (2373 644),,Worcester to Boston South Station,06:55:00,01:25:00
12,page 1,click (2373 713),,Framingham to Boston South Station,07:10:00,00:59:00
13,page 1,click (2373 782),,Worcester to Boston South Station,07:22:00,01:33:00
14,page 1,click (2373 851),,Framingham to Boston South Station,07:44:00,01:01:00
15,page 2,click (2373 506),,Worcester to Boston South Station,07:58:00,01:07:00
16,page 2,click (2373 575),,Worcester to Boston South Station,08:48:00,01:35:00
17,page 2,click (2373 644),,y Extra Southampton Street Yard - Boston South Station,09:30:00,00:10:00
18,page 2,click (2373 713),,Worcester to Boston South Station,10:33:00,01:36:00
19,page 2,click (2373 782),,"Extra Worcester, MA - Boston, MA",11:17:00,00:00:00
20,page 2,click (2373 851),,Southampton Street Yard - Boston South Station,13:23:00,00:00:00
21,page 3,click (2373 506),,Southampton Street Yard - Boston South Station,13:23:00,00:00:00
22,page 3,click (2373 575),,Southampton Street Yard - Boston South Station,13:28:00,00:00:00
23,page 3,click (2373 644),,Worcester to Boston South Station,13:53:00,01:28:00
24,page 3,click (2373 713),,Southampton Street Yard - Boston South Station,14:17:00,00:00:00
25,page 3,click (2373 782),,Southampton Street Yard - Boston South Station,14:50:00,00:00:00
26,page 3,click (2373 851),,Southampton Street Yard - Boston South Station,15:17:00,00:00:00
27,page 4,click (2373 506),,Worcester to Boston South Station,15:47:00,01:33:00
28,page 4,click (2373 575),,Southampton Street Yard - Boston South Station,15:53:00,00:08:00
29,page 4,click (2373 644),,Southampton Street Yard - Boston South Station,15:57:00,00:00:00
30,page 4,click (2373 713),,Southampton Street Yard - Boston South Station,16:02:00,00:00:00
31,page 4,click (2373 782),,Southampton Street Yard - Boston South Station,16:17:00,00:00:00
32,page 4,click (2373 851),,Southampton Street Yard - Boston South Station,16:27:00,00:00:00
33,page 5,click (2373 506),,Southampton Street Yard - Boston South Station,16:47:00,00:00:00
34,page 5,click (2373 575),,Southampton Street Yard - Boston South Station,16:53:00,00:00:00
35,page 5,click (2373 644),,Southampton Street Yard - Boston South Station,16:57:00,00:00:00
36,page 5,click (2373 713),,Worcester to Boston South Station,17:18:00,01:20:00
37,page 5,click (2373 782),,Southampton Street Yard - Boston South Station,17:35:00,00:00:00
38,page 5,click (2373 851),,Framingham to Boston South Station,17:38:00,00:49:00
39,page 6,click (2373 506),,Southampton Street Yard - Boston South Station,17:50:00,00:00:00
40,page 6,click (2373 575),,Worcester to Boston South Station,18:03:00,01:20:00
41,page 6,click (2373 644),,Framingham to Boston South Station,18:20:00,00:49:00
42,page 6,click (2373 713),,Worcester - Worcester Yard (Part 1),18:35:00,00:03:00
43,page 6,click (2373 782),,Framingham to Boston South Station,18:56:00,01:00:00
44,page 6,click (2373 851),,Worcester to Boston South Station,19:18:00,01:28:00
45,page 7,click (2373 506),,Worcester to Boston South Station,20:28:00,01:28:00
46,page 7,click (2373 575),,Worcester to Boston South Station,20:58:00,01:28:00
47,page 7,click (2373 644),,Worcester to Boston South Station,21:33:00,01:28:00
48,page 7,click (2373 713),,Worcester - Worcester Yard (Part 1),22:18:00,00:03:00
49,page 7,click (2373 782),,Worcester to Boston South Station,23:18:00,01:34:00
