number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),P536,P536 Worcester to Boston South Station,00:18:00,01:32:00
2,page 0,click (2373 437),MT537EQ,MT537EQ Worcester - Worcester Yard (Part 1),01:07:00,00:03:00
3,page 0,click (2373 506),MT500EQ,MT500EQ Worcester Yard - Worcester (Part 1),04:17:00,00:03:00
4,page 0,click (2373 575),P500,P500 Worcester to Boston South Station,04:43:00,01:36:00
5,page 0,click (2373 644),MT502EQ,MT502EQ Worcester Yard - Worcester (Part 1),04:52:00,00:03:00
6,page 0,click (2373 713),P502,P502 Worcester to Boston South Station,05:13:00,01:21:00
7,page 0,click (2373 782),P582,P582 Framingham to Boston South Station,05:58:00,00:59:00
8,page 0,click (2373 851),P506,P506 Worcester to Boston South Station,06:20:00,01:24:00
9,page 1,click (2373 506),P584,P584 Framingham to Boston South Station,06:30:00,01:04:00
10,page 1,click (2373 575),MT508EQ,MT508EQ Worcester Yard - Worcester (Part 1),06:34:00,00:03:00
11,page 1,click (2373 644),P508,P508 Worcester to Boston South Station,06:55:00,01:25:00
12,page 1,click (2373 713),P586,P586 Framingham to Boston South Station,07:10:00,00:59:00
13,page 1,click (2373 782),P510,P510 Worcester to Boston South Station,07:22:00,01:33:00
14,page 1,click (2373 851),P588,P588 Framingham to Boston South Station,07:44:00,01:01:00
15,page 2,click (2373 506),P552,P552 Worcester to Boston South Station,07:58:00,01:07:00
16,page 2,click (2373 575),P512,P512 Worcester to Boston South Station,08:48:00,01:35:00
17,page 2,click (2373 644),,Extra Southampton Street Yard - Boston South Station,09:30:00,00:10:00
18,page 2,click (2373 713),P514,P514 Worcester to Boston South Station,10:33:00,01:36:00
19,page 2,click (2373 782),,"Extra Worcester, MA - Boston, MA",11:17:00,00:00:00
20,page 2,click (2373 851),MT611EQ,MT611EQ Southampton Street Yard - Boston South Station,13:23:00,00:00:00
21,page 3,click (2373 506),MT813EQ,MT813EQ Southampton Street Yard - Boston South Station,13:23:00,00:00:00
22,page 3,click (2373 575),MT767EQ,MT767EQ Southampton Street Yard - Boston South Station,13:28:00,00:00:00
23,page 3,click (2373 644),P518,P518 Worcester to Boston South Station,13:53:00,01:28:00
24,page 3,click (2373 713),MT713EQ,MT713EQ Southampton Street Yard - Boston South Station,14:17:00,00:00:00
25,page 3,click (2373 782),MT817EQ,MT817EQ Southampton Street Yard - Boston South Station,14:50:00,00:00:00
26,page 3,click (2373 851),MT715EQ,MT715EQ Southampton Street Yard - Boston South Station,15:17:00,00:00:00
27,page 4,click (2373 506),P520,P520 Worcester to Boston South Station,15:47:00,01:33:00
28,page 4,click (2373 575),MT591EQ,MT591EQ Southampton Street Yard - Boston South Station,15:53:00,00:08:00
29,page 4,click (2373 644),MT519EQ,MT519EQ Southampton Street Yard - Boston South Station,15:57:00,00:00:00
30,page 4,click (2373 713),MT821EQ,MT821EQ Southampton Street Yard - Boston South Station,16:02:00,00:00:00
31,page 4,click (2373 782),MT083EQ,MT083EQ Southampton Street Yard - Boston South Station,16:17:00,00:00:00
32,page 4,click (2373 851),MT745EQ,MT745EQ Southampton Street Yard - Boston South Station,16:27:00,00:00:00
33,page 5,click (2373 506),MT021EQ,MT021EQ Southampton Street Yard - Boston South Station,16:47:00,00:00:00
34,page 5,click (2373 575),MT917EQ,MT917EQ Southampton Street Yard - Boston South Station,16:53:00,00:00:00
35,page 5,click (2373 644),MT619EQ,MT619EQ Southampton Street Yard - Boston South Station,16:57:00,00:00:00
36,page 5,click (2373 713),P522,P522 Worcester to Boston South Station,17:18:00,01:20:00
37,page 5,click (2373 782),MT023EQ,MT023EQ Southampton Street Yard - Boston South Station,17:35:00,00:00:00
38,page 5,click (2373 851),P592,P592 Framingham to Boston South Station,17:38:00,00:49:00
39,page 6,click (2373 506),MT067EQ,MT067EQ Southampton Street Yard - Boston South Station,17:50:00,00:00:00
40,page 6,click (2373 575),P524,P524 Worcester to Boston South Station,18:03:00,01:20:00
41,page 6,click (2373 644),P594,P594 Framingham to Boston South Station,18:20:00,00:49:00
42,page 6,click (2373 713),MT521EQ,MT521EQ Worcester - Worcester Yard (Part 1),18:35:00,00:03:00
43,page 6,click (2373 782),P596,P596 Framingham to Boston South Station,18:56:00,01:00:00
44,page 6,click (2373 851),P526,P526 Worcester to Boston South Station,19:18:00,01:28:00
45,page 7,click (2373 506),P528,P528 Worcester to Boston South Station,20:28:00,01:28:00
46,page 7,click (2373 575),P530,P530 Worcester to Boston South Station,20:58:00,01:28:00
47,page 7,click (2373 644),P532,P532 Worcester to Boston South Station,21:33:00,01:28:00
48,page 7,click (2373 713),MT531EQ,MT531EQ Worcester - Worcester Yard (Part 1),22:18:00,00:03:00
49,page 7,click (2373 782),P534,P534 Worcester to Boston South Station,23:18:00,01:34:00
