Service 001 | DUPLICATE | AM178EQ Boston South Station to Southampton Yard 00:39 00:23 | Train 2 | ACS-64 V AMTK50
Service 002 | DUPLICATE | AM66EQ Boston South Station to Southampton Yard 08:14 00:27 | Train 2 | ACS-64 V AMTK50
Service 003 | DUPLICATE | AM190EQ Boston South Station to Southampton Yard 11:37 00:11 | Train 2 | ACS-64 V AMTK50
Service 001 | DUPLICATE | MT537EQ Worcester - Worcester Yard (Part 2) 01:15 00:06 | Train 1 | HSP46 MBTA
Service 002 | DUPLICATE | MT500EQ Worcester Yard - Worcester (Part 2) 04:25 00:06 | Train 1 | HSP46 MBTA
Service 003 | DUPLICATE | P501 Boston South Station to Worcester 04:38 01:23 | Train 1 | HSP46 MBTA
Service 004 | DUPLICATE | MT502EQ Worcester Yard - Worcester (Part 2) 05:00 00:06 | Train 1 | HSP46 MBTA
Service 005 | DUPLICATE | 6581 Boston South Station to Framingham 05:11 00:31 | Train 1 | HSP46 MBTA
Service 006 | DUPLICATE | P583 Boston South Station to Framingham 05:28 00:49 | Train 1 | HSP46 MBTA
Service 007 | DUPLICATE | MT504EQ Worcester Yard - Worcester (Part 2) 05:35 00:06 | Train 1 | HSP46 MBTA
Service 008 | DUPLICATE | P503 Boston South Station to Worcester 05:53 01:13 | Train 1 | HSP46 MBTA
Service 009 | DUPLICATE | P505 Boston South Station to Worcester 06:08 01:23 | Train 1 | HSP46 MBTA
Service 010 | DUPLICATE | 6585 Boston South Station to Framingham 06:28 00:32 | Train 1 | HSP46 MBTA
Service 011 | DUPLICATE | MT508EQ Worcester Yard - Worcester (Part 2) 06:42 00:06 | Train 1 | HSP46 MBTA
Service 012 | DUPLICATE | P587 Boston South Station to Framingham 06:46 00:49 | Train 1 | HSP46 MBTA
Service 013 | DUPLICATE | MT600EQ Boston South Station - Southampton Street Yard 07:11 00:10 | Train 1 | HSP46 MBTA
Service 014 | DUPLICATE | MT004EQ Boston South Station - Southampton Street Yard 07:12 00:10 | Train 1 | HSP46 MBTA
Service 015 | DUPLICATE | P507 Boston South Station to Worcester 07:18 01:12 | Train 1 | HSP46 MBTA
Service 016 | DUPLICATE | MT034EQ Boston South Station - Southampton Street Yard 07:22 00:10 | Train 1 | HSP46 MBTA
Service 017 | DUPLICATE | P589 Boston South Station to Ashland 07:28 00:52 | Train 1 | HSP46 MBTA
Service 018 | DUPLICATE | MT806EQ Boston South Station - Southampton Street Yard 07:42 00:10 | Train 1 | HSP46 MBTA
Service 019 | DUPLICATE | MT074EQ Boston South Station - Southampton Street Yard 08:12 00:10 | Train 1 | HSP46 MBTA
Service 020 | DUPLICATE | MT036EQ Boston South Station - Southampton Street Yard 08:16 00:10 | Train 1 | HSP46 MBTA
Service 021 | DUPLICATE | MT808EQ Boston South Station - Southampton Street Yard 08:26 00:10 | Train 1 | HSP46 MBTA
Service 022 | DUPLICATE | MT810EQ Boston South Station - Southampton Street Yard 08:38 00:10 | Train 1 | HSP46 MBTA
Service 023 | DUPLICATE | MT740EQ Boston South Station - Southampton Street Yard 08:44 00:10 | Train 1 | HSP46 MBTA
Service 024 | DUPLICATE | P509 Boston South Station to Worcester 08:48 01:24 | Train 1 | HSP46 MBTA
Service 025 | DUPLICATE | MT588EQ Boston South Station - Southampton Street Yard 08:55 00:05 | Train 1 | HSP46 MBTA
Service 026 | DUPLICATE | MT756EQ Boston South Station - Southampton Street Yard 09:22 00:09 | Train 1 | HSP46 MBTA
Service 027 | DUPLICATE | MT608EQ Boston South Station - Southampton Street Yard 09:42 00:10 | Train 1 | HSP46 MBTA
Service 028 | DUPLICATE | Geometry Extra Boston, MA - Worcester, MA 09:54 00:00 | Train 1 | HSP46 MBTA
Service 029 | DUPLICATE | P511 Boston South Station to Worcester 10:13 01:31 | Train 1 | HSP46 MBTA
Service 030 | DUPLICATE | MT710EQ Boston South Station - Southampton Street Yard 10:32 00:10 | Train 1 | HSP46 MBTA
Service 031 | DUPLICATE | MT512EQ Boston South Station - Southampton Street Yard 10:37 00:08 | Train 1 | HSP46 MBTA
Service 032 | DUPLICATE | MT910EQ Boston South Station - Southampton Street Yard 11:27 00:10 | Train 1 | HSP46 MBTA
Service 033 | DUPLICATE | P513 Boston South Station to Worcester 11:53 01:31 | Train 1 | HSP46 MBTA
Service 034 | DUPLICATE | MT514EQ Boston South Station - Southampton Street Yard 12:17 00:05 | Train 1 | HSP46 MBTA
Service 035 | DUPLICATE | Geometry Extra Boston South Station - Southampton Street Yard 12:41 00:10 | Train 1 | HSP46 MBTA
Service 036 | DUPLICATE | MT714EQ Boston South Station - Southampton Street Yard 13:46 00:10 | Train 1 | HSP46 MBTA
Service 037 | DUPLICATE | MT516EQ Boston South Station - Southampton Street Yard 13:47 00:06 | Train 1 | HSP46 MBTA
Service 038 | DUPLICATE | P515 Boston South Station to Worcester 13:53 01:31 | Train 1 | HSP46 MBTA
Service 039 | DUPLICATE | P517 Boston South Station to Worcester 15:28 01:35 | Train 1 | HSP46 MBTA
Service 040 | DUPLICATE | P519 Boston South Station to Worcester 16:18 01:26 | Train 1 | HSP46 MBTA
Service 041 | DUPLICATE | P591 Boston South Station to Framingham 16:28 00:54 | Train 1 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 1 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 1 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 1 | HSP46 MBTA
Service 043 | DUPLICATE | P593 Boston South Station to Framingham 17:08 00:58 | Train 1 | HSP46 MBTA
Service 044 | DUPLICATE | P523 Boston South Station to Worcester 17:38 01:25 | Train 1 | HSP46 MBTA
Service 045 | DUPLICATE | P595 Boston South Station to Framingham 17:48 00:55 | Train 1 | HSP46 MBTA
Service 046 | DUPLICATE | P525 Boston South Station to Worcester 18:13 01:30 | Train 1 | HSP46 MBTA
Service 047 | DUPLICATE | P527 Boston South Station to Worcester 18:43 01:31 | Train 1 | HSP46 MBTA
Service 048 | DUPLICATE | MT521EQ Worcester - Worcester Yard (Part 2) 18:47 00:04 | Train 1 | HSP46 MBTA
Service 049 | DUPLICATE | P551 Boston South Station to Worcester 19:33 01:11 | Train 1 | HSP46 MBTA
Service 050 | DUPLICATE | P529 Boston South Station to Worcester 19:43 01:31 | Train 1 | HSP46 MBTA
Service 051 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 2) 20:02 00:06 | Train 1 | HSP46 MBTA
Service 052 | DUPLICATE | P531 Boston South Station to Worcester 20:33 01:31 | Train 1 | HSP46 MBTA
Service 053 | DUPLICATE | P533 Boston South Station to Worcester 21:33 01:31 | Train 1 | HSP46 MBTA
Service 054 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 2) 22:26 00:06 | Train 1 | HSP46 MBTA
Service 055 | DUPLICATE | P535 Boston South Station to Worcester 22:28 01:31 | Train 1 | HSP46 MBTA
Service 056 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31 | Train 1 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 2 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 2 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 2 | HSP46 MBTA
Service 043 | DUPLICATE | P593 Boston South Station to Framingham 17:08 00:58 | Train 2 | HSP46 MBTA
Service 044 | DUPLICATE | P523 Boston South Station to Worcester 17:38 01:25 | Train 2 | HSP46 MBTA
Service 045 | DUPLICATE | P595 Boston South Station to Framingham 17:48 00:55 | Train 2 | HSP46 MBTA
Service 046 | DUPLICATE | P525 Boston South Station to Worcester 18:13 01:30 | Train 2 | HSP46 MBTA
Service 047 | DUPLICATE | P527 Boston South Station to Worcester 18:43 01:31 | Train 2 | HSP46 MBTA
Service 048 | DUPLICATE | MT521EQ Worcester - Worcester Yard (Part 2) 18:47 00:04 | Train 2 | HSP46 MBTA
Service 049 | DUPLICATE | P551 Boston South Station to Worcester 19:33 01:11 | Train 2 | HSP46 MBTA
Service 050 | DUPLICATE | P529 Boston South Station to Worcester 19:43 01:31 | Train 2 | HSP46 MBTA
Service 051 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 2) 20:02 00:06 | Train 2 | HSP46 MBTA
Service 052 | DUPLICATE | P531 Boston South Station to Worcester 20:33 01:31 | Train 2 | HSP46 MBTA
Service 053 | DUPLICATE | P533 Boston South Station to Worcester 21:33 01:31 | Train 2 | HSP46 MBTA
Service 054 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 2) 22:26 00:06 | Train 2 | HSP46 MBTA
Service 055 | DUPLICATE | P535 Boston South Station to Worcester 22:28 01:31 | Train 2 | HSP46 MBTA
Service 056 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31 | Train 2 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 3 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 3 | HSP46 MBTA
Service 042 | DUPLICATE | P521 Boston South Station to Worcester 16:58 01:26 | Train 3 | HSP46 MBTA
Service 043 | DUPLICATE | P593 Boston South Station to Framingham 17:08 00:58 | Train 3 | HSP46 MBTA
Service 044 | DUPLICATE | P523 Boston South Station to Worcester 17:38 01:25 | Train 3 | HSP46 MBTA
Service 045 | DUPLICATE | P595 Boston South Station to Framingham 17:48 00:55 | Train 3 | HSP46 MBTA
Service 046 | DUPLICATE | P525 Boston South Station to Worcester 18:13 01:30 | Train 3 | HSP46 MBTA
Service 047 | DUPLICATE | P527 Boston South Station to Worcester 18:43 01:31 | Train 3 | HSP46 MBTA
Service 048 | DUPLICATE | MT521EQ Worcester - Worcester Yard (Part 2) 18:47 00:04 | Train 3 | HSP46 MBTA
Service 049 | DUPLICATE | P551 Boston South Station to Worcester 19:33 01:11 | Train 3 | HSP46 MBTA
Service 050 | DUPLICATE | P529 Boston South Station to Worcester 19:43 01:31 | Train 3 | HSP46 MBTA
Service 051 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 2) 20:02 00:06 | Train 3 | HSP46 MBTA
Service 052 | DUPLICATE | P531 Boston South Station to Worcester 20:33 01:31 | Train 3 | HSP46 MBTA
Service 053 | DUPLICATE | P533 Boston South Station to Worcester 21:33 01:31 | Train 3 | HSP46 MBTA
Service 054 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 2) 22:26 00:06 | Train 3 | HSP46 MBTA
Service 055 | DUPLICATE | P535 Boston South Station to Worcester 22:28 01:31 | Train 3 | HSP46 MBTA
Service 056 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31 | Train 3 | HSP46 MBTA
Service 056 | DUPLICATE | P537 Boston South Station to Worcester 23:28 01:31 | Train 3 | HSP46 MBTA
Service 001 | DUPLICATE | P536 Worcester to Boston South Station 00:18 01:32 | Train 1 | Rotem CTC-5 MBTA
Service 003 | DUPLICATE | MT500EQ Worcester Yard - Worcester (Part 1) 04:17 00:03 | Train 1 | Rotem CTC-5 MBTA
Service 004 | DUPLICATE | P500 Worcester to Boston South Station 04:43 01:36 | Train 1 | Rotem CTC-5 MBTA
Service 007 | DUPLICATE | P582 Framingham to Boston South Station 05:58 00:59 | Train 1 | Rotem CTC-5 MBTA
Service 009 | DUPLICATE | P584 Framingham to Boston South Station 06:30 01:04 | Train 1 | Rotem CTC-5 MBTA
Service 012 | DUPLICATE | P586 Framingham to Boston South Station 07:10 00:59 | Train 1 | Rotem CTC-5 MBTA
Service 013 | DUPLICATE | P510 Worcester to Boston South Station 07:22 01:33 | Train 1 | Rotem CTC-5 MBTA
Service 015 | DUPLICATE | P552 Worcester to Boston South Station 07:58 01:07 | Train 1 | Rotem CTC-5 MBTA
Service 016 | DUPLICATE | P512 Worcester to Boston South Station 08:48 01:35 | Train 1 | Rotem CTC-5 MBTA
Service 017 | DUPLICATE | Geometry Extra Southampton Street Yard - Boston South Station 09:30 00:10 | Train 1 | Rotem CTC-5 MBTA
Service 018 | DUPLICATE | P514 Worcester to Boston South Station 10:33 01:36 | Train 1 | Rotem CTC-5 MBTA
Service 019 | DUPLICATE | Extra Worcester, MA - Boston, MA 11:17 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 020 | DUPLICATE | MT611EQ Southampton Street Yard - Boston South Station 13:23 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 022 | DUPLICATE | MT767EQ Southampton Street Yard - Boston South Station 13:28 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 023 | DUPLICATE | P518 Worcester to Boston South Station 13:53 01:28 | Train 1 | Rotem CTC-5 MBTA
Service 024 | DUPLICATE | MT713EQ Southampton Street Yard - Boston South Station 14:17 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 025 | DUPLICATE | MT817EQ Southampton Street Yard - Boston South Station 14:50 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 026 | DUPLICATE | MT715EQ Southampton Street Yard - Boston South Station 15:17 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 027 | DUPLICATE | P520 Worcester to Boston South Station 15:47 01:33 | Train 1 | Rotem CTC-5 MBTA
Service 028 | DUPLICATE | MT591EQ Southampton Street Yard - Boston South Station 15:53 00:08 | Train 1 | Rotem CTC-5 MBTA
Service 031 | DUPLICATE | MT083EQ Southampton Street Yard - Boston South Station 16:17 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 032 | DUPLICATE | MT745EQ Southampton Street Yard - Boston South Station 16:27 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 033 | DUPLICATE | MT021EQ Southampton Street Yard - Boston South Station 16:47 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 034 | DUPLICATE | MT917EQ Southampton Street Yard - Boston South Station 16:53 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 035 | DUPLICATE | MT619EQ Southampton Street Yard - Boston South Station 16:57 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 036 | DUPLICATE | P522 Worcester to Boston South Station 17:18 01:20 | Train 1 | Rotem CTC-5 MBTA
Service 037 | DUPLICATE | MT023EQ Southampton Street Yard - Boston South Station 17:35 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 038 | DUPLICATE | P592 Framingham to Boston South Station 17:38 00:49 | Train 1 | Rotem CTC-5 MBTA
Service 039 | DUPLICATE | MT067EQ Southampton Street Yard - Boston South Station 17:50 00:00 | Train 1 | Rotem CTC-5 MBTA
Service 041 | DUPLICATE | P594 Framingham to Boston South Station 18:20 00:49 | Train 1 | Rotem CTC-5 MBTA
Service 043 | DUPLICATE | P596 Framingham to Boston South Station 18:56 01:00 | Train 1 | Rotem CTC-5 MBTA
Service 045 | DUPLICATE | P528 Worcester to Boston South Station 20:28 01:28 | Train 1 | Rotem CTC-5 MBTA
Service 046 | DUPLICATE | P530 Worcester to Boston South Station 20:58 01:28 | Train 1 | Rotem CTC-5 MBTA
Service 048 | DUPLICATE | MT531EQ Worcester - Worcester Yard (Part 1) 22:18 00:03 | Train 1 | Rotem CTC-5 MBTA
Service 035 | DUPLICATE | MT525EQ Southampton Street Yard - Boston South Station 17:58 00:00 | Train 2 | CTC-3 Cab Car
Service 038 | DUPLICATE | MT525EQ Worcester - Worcester Yard (Part 1) 19:54 00:03 | Train 2 | CTC-3 Cab Car
