number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,Train 696 Southeast to GCT,00:04:00,00:45:00
2,page 0,click (2373 437),,Train 695 GCT to Mount Kisco,00:09:00,00:43:00
3,page 0,click (2373 506),,Train 796 Croton-Harmon to GCT,00:45:00,00:21:00
4,page 0,click (2373 575),,Train 799 GCT to Croton-Harmon,00:59:00,00:14:00
5,page 0,click (2373 644),,Train 599 GCT to North White Plains,01:19:00,01:04:00
6,page 0,click (2373 713),,Train 701 GCT to Croton-Harmon,01:49:00,00:15:00
7,page 0,click (2373 782),,Train 699 GCT to Southeast,01:55:00,00:57:00
8,page 0,click (2373 851),,Train 2500 North White Plains Yard to GCT,04:25:00,00:36:00
9,page 1,click (2373 506),,Train 502 North White Plains to GCT,05:07:00,01:06:00
10,page 1,click (2373 575),,Train 602 Southeast to GCT,05:07:00,00:42:00
11,page 1,click (2373 644),,Train 604 Southeast to GCT,05:26:00,00:41:00
12,page 1,click (2373 713),,Train 304 North White Plains to GCT,05:28:00,01:02:00
13,page 1,click (2373 782),,Train 703 GCT to Croton-Harmon,05:37:00,00:17:00
14,page 1,click (2373 851),,Train 501 GCT to North White Plains,05:37:00,01:07:00
15,page 2,click (2373 506),,Train 504 North White Plains to GCT,05:43:00,00:49:00
16,page 2,click (2373 575),,Train 306 North White Plains to GCT,05:56:00,01:08:00
17,page 2,click (2373 644),,Train 606 Southeast to GCT,05:56:00,00:40:00
18,page 2,click (2373 713),,Train 601 GCT to Southeast,06:01:00,00:42:00
19,page 2,click (2373 782),,Train 2309 GCT to Crestwood,06:07:00,00:31:00
20,page 2,click (2373 851),,Train 503 GCT to North White Plains,06:07:00,00:55:00
21,page 3,click (2373 506),,Train 506 North White Plains to GCT,06:12:00,00:49:00
22,page 3,click (2373 575),,Train 705 GCT to Croton-Harmon,06:14:00,00:19:00
23,page 3,click (2373 644),,Train 603 GCT to Southeast,06:22:00,00:40:00
24,page 3,click (2373 713),,Train 608 Southeast to GCT,06:22:00,00:41:00
25,page 3,click (2373 782),,Train 505 GCT to North White Plains,06:27:00,01:02:00
26,page 3,click (2373 851),,Train 2313 GCT to Crestwood,06:30:00,00:25:00
27,page 4,click (2373 506),,Train 312 North White Plains to GCT,06:36:00,01:05:00
28,page 4,click (2373 575),,Train 605 GCT to Southeast,06:41:00,00:51:00
29,page 4,click (2373 644),,Train 307 GCT to North White Plains,06:44:00,01:06:00
30,page 4,click (2373 713),,Train 610 Southeast to GCT,06:45:00,00:41:00
31,page 4,click (2373 782),,Train 310 Crestwood to GCT,06:48:00,00:37:00
32,page 4,click (2373 851),,Train 2323 GCT to Mount Vernon West Yard,06:53:00,00:29:00
33,page 5,click (2373 506),,Train 614 Southeast to GCT,07:01:00,00:47:00
34,page 5,click (2373 575),,Train 316 North White Plains to GCT,07:08:00,01:06:00
35,page 5,click (2373 644),,Train 507 GCT to North White Plains,07:11:00,00:43:00
36,page 5,click (2373 713),,Train 607 GCT to Southeast,07:14:00,00:46:00
37,page 5,click (2373 782),,Train 518 Crestwood to GCT,07:16:00,01:01:00
38,page 5,click (2373 851),,Train 309 GCT to North White Plains,07:17:00,01:02:00
39,page 6,click (2373 506),,Train 314 Crestwood to GCT,07:17:00,00:37:00
40,page 6,click (2373 575),,Train 709 GCT to Croton-Harmon,07:22:00,00:15:00
41,page 6,click (2373 644),,Train 520 Crestwood to GCT,07:25:00,01:08:00
42,page 6,click (2373 713),,Train 516 North White Plains to GCT,07:27:00,00:49:00
43,page 6,click (2373 782),,GCT Yard Move (Part 1),07:29:00,00:02:00
44,page 6,click (2373 851),,Train 416 Greystone to GCT,07:31:00,00:21:00
