number,page,click,service_id,service_name,time,duration
157,page 25,click (2373 713),,GCT Yard Move (Part 1),17:44:00,00:02:00
158,page 25,click (2373 782),,Train 672 Southeast to GCT,17:47:00,00:52:00
159,page 25,click (2373 851),,Train 774 Croton-Harmon to GCT,17:49:00,00:22:00
160,page 26,click (2373 506),,Train 2550 North White Plains Yard to GCT,17:51:00,00:52:00
161,page 26,click (2373 575),,GCT Yard Move (Part 2),17:51:00,00:05:00
162,page 26,click (2373 644),,Train 361 GCT to Crestwood,17:57:00,00:36:00
163,page 26,click (2373 713),,Train 572 North White Plains to GCT,17:59:00,01:06:00
164,page 26,click (2373 782),,Train 665 GCT to Southeast,18:12:00,00:37:00
165,page 26,click (2373 851),,Train 776 Croton-Harmon to GCT,18:19:00,00:25:00
166,page 27,click (2373 506),,Train 365 GCT to Crestwood,18:22:00,00:36:00
167,page 27,click (2373 575),,Train 674 Southeast to GCT,18:22:00,00:50:00
168,page 27,click (2373 644),,Train 771 GCT to Croton-Harmon,18:27:00,00:17:00
169,page 27,click (2373 713),,Train 2358 Crestwood to GCT,18:28:00,00:38:00
170,page 27,click (2373 782),,Train 667 GCT to Mount Kisco,18:28:00,00:34:00
171,page 27,click (2373 851),,Train 574 North White Plains to GCT,18:29:00,01:02:00
172,page 28,click (2373 506),,Train 669 GCT to Mount Kisco,18:31:00,00:37:00
173,page 28,click (2373 575),,Train 567 GCT to North White Plains,18:37:00,00:55:00
174,page 28,click (2373 644),,Train 2362 Crestwood to GCT,18:43:00,00:34:00
175,page 28,click (2373 713),,Train 367 GCT to Mount Vernon West,18:48:00,00:39:00
176,page 28,click (2373 782),,Train 676 Southeast to GCT,18:49:00,00:46:00
177,page 28,click (2373 851),,Train 778 Croton-Harmon to GCT,18:52:00,00:21:00
178,page 29,click (2373 506),,Train 775 GCT to Croton-Harmon,18:54:00,00:15:00
179,page 29,click (2373 575),,Train 671 GCT to Mount Kisco,18:55:00,00:34:00
180,page 29,click (2373 644),,Train 673 GCT to Mount Kisco,18:58:00,00:43:00
181,page 29,click (2373 713),,Train 576 North White Plains to GCT,18:59:00,01:03:00
182,page 29,click (2373 782),,Train 373 GCT to North White Plains,19:04:00,00:54:00
183,page 29,click (2373 851),,Train 2366 Crestwood to GCT,19:08:00,00:32:00
184,page 30,click (2373 506),,Train 678 Southeast to GCT,19:21:00,00:44:00
185,page 30,click (2373 575),,Train 677 GCT to Mount Kisco,19:23:00,00:37:00
186,page 30,click (2373 644),,Train 577 GCT to North White Plains,19:27:00,00:49:00
187,page 30,click (2373 713),,Train 579 GCT to North White Plains,19:30:00,01:06:00
188,page 30,click (2373 782),,Train 2368 Mount Vernon West to GCT,19:34:00,00:36:00
189,page 30,click (2373 851),,Train 2666 Southeast to GCT,19:41:00,00:50:00
190,page 31,click (2373 506),,Train 679 GCT to Southeast,19:53:00,00:39:00
191,page 31,click (2373 575),,Train 680 Southeast to GCT,19:56:00,00:50:00
192,page 31,click (2373 644),,Train 581 GCT to North White Plains,19:57:00,00:56:00
193,page 31,click (2373 713),,Train 781 GCT to Croton-Harmon,20:00:00,00:14:00
194,page 31,click (2373 782),,Train 580 North White Plains to GCT,20:00:00,01:02:00
195,page 31,click (2373 851),,Train 682 Mount Kisco to GCT,20:29:00,00:57:00
196,page 32,click (2373 506),,Train 783 GCT to Croton-Harmon,20:32:00,00:15:00
197,page 32,click (2373 575),,Train 485 GCT to Greystone,20:36:00,00:16:00
198,page 32,click (2373 644),,Train 683 GCT to Southeast,20:51:00,00:45:00
199,page 32,click (2373 713),,Train 684 Southeast to GCT,20:53:00,00:51:00
200,page 32,click (2373 782),,Train 2694 Southeast to GCT,21:07:00,00:44:00
201,page 32,click (2373 851),,Train 785 GCT to Croton-Harmon,21:12:00,00:15:00
202,page 33,click (2373 506),,Train 685 GCT to Mount Kisco,21:15:00,00:41:00
203,page 33,click (2373 575),,Train 787 GCT to Croton-Harmon,21:19:00,00:14:00
204,page 33,click (2373 644),,Train 387 GCT to Crestwood,21:24:00,00:46:00
205,page 33,click (2373 713),,Train 790 Croton-Harmon to GCT,21:46:00,00:20:00
206,page 33,click (2373 782),,Train 687 GCT to Southeast,21:51:00,00:44:00
207,page 33,click (2373 851),,Train 789 GCT to Croton-Harmon,21:53:00,00:15:00
208,page 34,click (2373 506),,Train 688 Southeast to GCT,21:57:00,00:52:00
209,page 34,click (2373 575),,Train 587 GCT to North White Plains,21:59:00,01:03:00
210,page 34,click (2373 644),,Train 791 GCT to Croton-Harmon,22:19:00,00:14:00
211,page 34,click (2373 713),,Train 388 Crestwood to GCT,22:20:00,00:48:00
212,page 34,click (2373 782),,Train 591 GCT to North White Plains,22:31:00,01:06:00
213,page 34,click (2373 851),,Train 792 Croton-Harmon to GCT,22:47:00,00:21:00
214,page 35,click (2373 713),,Train 592 North White Plains to GCT,22:50:00,01:08:00
215,page 35,click (2373 782),,Train 692 Southeast to GCT,23:00:00,00:48:00
216,page 35,click (2373 851),,Train 691 GCT to Mount Kisco,23:03:00,00:41:00
