number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,Leave Depot,05:11:00,00:02:00
2,page 0,click (2373 437),,TGV 6102 Paris Gare de Lyon,05:16:00,00:33:00
3,page 0,click (2373 506),,TGV 6136 Paris Gare de Lyon,06:02:00,00:33:00
4,page 0,click (2373 575),,TGV 9854 Bruxelles Midi,06:36:00,00:33:00
5,page 0,click (2373 644),,Leave Depot,06:55:00,00:02:00
6,page 0,click (2373 713),,TGV 6106 Paris Gare de Lyon,07:00:00,00:33:00
7,page 0,click (2373 782),,TGV 6801 Nice Ville,07:39:00,00:33:00
8,page 0,click (2373 851),,TGV 9583 Frankfurt(Main)Hbf,08:16:00,00:33:00
9,page 1,click (2373 506),,TGV 6112 Paris Gare de Lyon,09:02:00,00:33:00
10,page 1,click (2373 575),,TGV 6101 Marseille-St-Charles,09:22:00,00:33:00
11,page 1,click (2373 644),,TGV 6811 Marseille-St-Charles,09:30:00,00:33:00
12,page 1,click (2373 713),,Leave Depot,09:40:00,00:02:00
13,page 1,click (2373 782),,TGV 5516 Nancy Ville,09:46:00,00:33:00
14,page 1,click (2373 851),,TGV 5102 Marseille-St-Charles,10:14:00,00:33:00
15,page 2,click (2373 506),,TGV 6103 Marseille-St-Charles,10:28:00,00:33:00
16,page 2,click (2373 575),,Return to Depot,11:10:00,00:03:00
17,page 2,click (2373 644),,TGV 6077 Nice Ville,11:50:00,00:29:00
18,page 2,click (2373 713),,TGV 5010 Marseille-St-Charles,11:54:00,00:29:00
19,page 2,click (2373 782),,TGV 6116 Paris Gare de Lyon,12:02:00,00:33:00
20,page 2,click (2373 851),,TGV 9866 Bruxelles Midi,12:07:00,00:35:00
21,page 3,click (2373 506),,TGV 5332 Marseille-St-Charles,12:46:00,00:35:00
22,page 3,click (2373 575),,TGV 6175 Nice Ville,12:52:00,00:29:00
23,page 3,click (2373 644),,TGV 6109 Marseille-St-Charles,13:37:00,00:33:00
24,page 3,click (2373 713),,TGV 5316 Marseille-St-Charles,13:53:00,00:29:00
25,page 3,click (2373 782),,TGV 6120 Paris Gare de Lyon,14:00:00,00:33:00
26,page 3,click (2373 851),,TGV 9877 Marseille-St-Charles,14:22:00,00:33:00
27,page 4,click (2373 506),,TGV 6111 Marseille-St-Charles,14:30:00,00:33:00
28,page 4,click (2373 575),,TGV 5386 Rennes,14:33:00,00:33:00
29,page 4,click (2373 644),,TGV 6122 Paris Gare de Lyon,15:01:00,00:33:00
30,page 4,click (2373 713),,TGV 9868 Bruxelles Midi,15:10:00,00:36:00
31,page 4,click (2373 782),,TGV 6803 Marseille-St-Charles,15:10:00,00:33:00
32,page 4,click (2373 851),,TGV 5376 Le Havre,15:33:00,00:33:00
33,page 5,click (2373 506),,TGV 6124 Paris Gare de Lyon,15:49:00,00:33:00
34,page 5,click (2373 575),,TGV 9896 Metz Ville,16:02:00,00:37:00
35,page 5,click (2373 644),,TGV 6077 Nice Ville,16:50:00,00:29:00
36,page 5,click (2373 713),,TGV 6128 Paris Gare de Lyon,17:00:00,00:33:00
37,page 5,click (2373 782),,TGV 9882 Bruxelles Midi,17:07:00,00:38:00
38,page 5,click (2373 851),,Leave Depot,17:40:00,00:02:00
39,page 6,click (2373 506),,TGV 5306 Marseille-St-Charles,17:44:00,00:29:00
40,page 6,click (2373 575),,TGV 6850 Lyon Part Dieu,17:49:00,00:33:00
41,page 6,click (2373 644),,TGV 9830 Marseille-St-Charles,18:14:00,00:33:00
42,page 6,click (2373 713),,TGV 6117 Marseille-St-Charles,18:29:00,00:33:00
43,page 6,click (2373 782),,TGV 6132 Paris Gare de Lyon,18:59:00,00:34:00
44,page 6,click (2373 851),,TGV 6169 Nice Ville,19:00:00,00:29:00
45,page 7,click (2373 506),,TGV 6862 Lyon Part Dieu,19:09:00,00:34:00
46,page 7,click (2373 575),,TGV 5537 Nice Ville,19:10:00,00:33:00
47,page 7,click (2373 644),,TGV 6121 Nice Ville,19:22:00,00:33:00
48,page 7,click (2373 713),,TGV 6852 Lyon Part Dieu,20:14:00,00:33:00
49,page 7,click (2373 782),,TGV 6123 Marseille-St-Charles,20:30:00,00:33:00
50,page 7,click (2373 851),,Return to Depot,21:10:00,00:03:00
51,page 8,click (2373 782),,Return to Depot,21:45:00,00:03:00
52,page 8,click (2373 851),,Return to Depot,22:00:00,00:03:00
