number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),5L03,5L03 Willesden T.M.D to Barking,04:55:00,00:26:00
2,page 0,click (2373 437),2J00,2J00 Barking Riverside to Gospel Oak,05:31:00,00:42:00
3,page 0,click (2373 506),5J05,5J05 Barking to Woodgrange Park,05:33:00,00:06:00
4,page 0,click (2373 575),5J04,5J04 East Ham E.M.U.D. to Barking Riverside,05:38:00,00:14:00
5,page 0,click (2373 644),5L08,5L08 Willesden T.M.D to Barking Riverside,05:40:00,00:24:00
6,page 0,click (2373 713),5J06,5J06 Woodgrange Park to Barking Riverside,05:44:00,00:10:00
7,page 0,click (2373 782),2J02,2J02 Barking Riverside to Gospel Oak,05:46:00,00:42:00
8,page 0,click (2373 851),2J04,2J04 Barking Riverside to Gospel Oak,06:01:00,00:42:00
9,page 1,click (2373 506),5J09,5J09 Barking to Woodgrange Park,06:02:00,00:04:00
10,page 1,click (2373 575),2J01,2J01 Gospel Oak to Barking Riverside,06:07:00,00:45:00
11,page 1,click (2373 644),2J06,2J06 Barking Riverside to Gospel Oak,06:16:00,00:42:00
12,page 1,click (2373 713),5J10,5J10 Woodgrange Park to Barking Riverside,06:19:00,00:08:00
13,page 1,click (2373 782),2J03,2J03 Gospel Oak to Barking Riverside,06:22:00,00:41:00
14,page 1,click (2373 851),2J08,2J08 Barking Riverside to Gospel Oak,06:31:00,00:42:00
15,page 2,click (2373 506),2J05,2J05 Gospel Oak to Barking Riverside,06:37:00,00:42:00
16,page 2,click (2373 575),2J10,2J10 Barking Riverside to Gospel Oak,06:46:00,00:42:00
17,page 2,click (2373 644),2J07,2J07 Gospel Oak to Barking Riverside,06:52:00,00:41:00
18,page 2,click (2373 713),2J12,2J12 Barking Riverside to Gospel Oak,06:59:00,00:43:00
19,page 2,click (2373 782),2J09,2J09 Gospel Oak to Barking Riverside,07:07:00,00:41:00
20,page 2,click (2373 851),2J14,2J14 Barking Riverside to Gospel Oak,07:16:00,00:42:00
21,page 3,click (2373 506),2J11,2J11 Gospel Oak to Barking Riverside,07:22:00,00:41:00
22,page 3,click (2373 575),2J16,2J16 Barking Riverside to Gospel Oak,07:31:00,00:42:00
23,page 3,click (2373 644),2J13,2J13 Gospel Oak to Barking Riverside,07:36:00,00:42:00
24,page 3,click (2373 713),2J18,2J18 Barking Riverside to Gospel Oak,07:46:00,00:42:00
25,page 3,click (2373 782),2J15,2J15 Gospel Oak to Barking Riverside,07:52:00,00:41:00
26,page 3,click (2373 851),2J20,2J20 Barking Riverside to Gospel Oak,08:01:00,00:42:00
27,page 4,click (2373 506),2J17,2J17 Gospel Oak to Barking Riverside,08:07:00,00:41:00
28,page 4,click (2373 575),2J22,2J22 Barking Riverside to Gospel Oak,08:16:00,00:43:00
29,page 4,click (2373 644),2J19,2J19 Gospel Oak to Barking Riverside,08:22:00,00:41:00
30,page 4,click (2373 713),2J24,2J24 Barking Riverside to Gospel Oak,08:31:00,00:42:00
31,page 4,click (2373 782),2J21,2J21 Gospel Oak to Barking Riverside,08:37:00,00:41:00
32,page 4,click (2373 851),2J26,2J26 Barking Riverside to Gospel Oak,08:46:00,00:42:00
33,page 5,click (2373 506),2J23,2J23 Gospel Oak to Barking Riverside,08:52:00,00:41:00
34,page 5,click (2373 575),2J28,2J28 Barking Riverside to Gospel Oak,09:01:00,00:42:00
35,page 5,click (2373 644),2J25,2J25 Gospel Oak to Barking Riverside,09:06:00,00:42:00
36,page 5,click (2373 713),2J30,2J30 Barking Riverside to Gospel Oak,09:16:00,00:42:00
37,page 5,click (2373 782),2J27,2J27 Gospel Oak to Barking Riverside,09:22:00,00:41:00
38,page 5,click (2373 851),2J32,2J32 Barking Riverside to Gospel Oak,09:31:00,00:42:00
39,page 6,click (2373 506),2J29,2J29 Gospel Oak to Barking Riverside,09:37:00,00:41:00
40,page 6,click (2373 575),2J34,2J34 Barking Riverside to Gospel Oak,09:46:00,00:42:00
41,page 6,click (2373 644),2J31,2J31 Gospel Oak to Barking Riverside,09:51:00,00:42:00
42,page 6,click (2373 713),2J36,2J36 Barking Riverside to Gospel Oak,10:01:00,00:42:00
43,page 6,click (2373 782),2J33,2J33 Gospel Oak to Barking Riverside,10:07:00,00:41:00
44,page 6,click (2373 851),2J38,2J38 Barking Riverside to Gospel Oak,10:16:00,00:43:00
45,page 7,click (2373 506),2J35,2J35 Gospel Oak to Barking Riverside,10:22:00,00:41:00
46,page 7,click (2373 575),2J40,2J40 Barking Riverside to Gospel Oak,10:31:00,00:42:00
47,page 7,click (2373 644),2J37,2J37 Gospel Oak to Barking Riverside,10:37:00,00:41:00
48,page 7,click (2373 713),2J42,2J42 Barking Riverside to Gospel Oak,10:46:00,00:42:00
49,page 7,click (2373 782),2J39,2J39 Gospel Oak to Barking Riverside,10:52:00,00:42:00
50,page 7,click (2373 851),2J44,2J44 Barking Riverside to Gospel Oak,11:01:00,00:42:00
51,page 8,click (2373 506),2J41,2J41 Gospel Oak to Barking Riverside,11:07:00,00:41:00
52,page 8,click (2373 575),2J50,2J50 Barking Riverside to Gospel Oak,11:16:00,00:42:00
53,page 8,click (2373 644),2J43,2J43 Gospel Oak to Barking Riverside,11:22:00,00:41:00
54,page 8,click (2373 713),2J48,2J48 Barking Riverside to Gospel Oak,11:31:00,00:42:00
55,page 8,click (2373 782),2J45,2J45 Gospel Oak to Barking Riverside,11:37:00,00:41:00
56,page 8,click (2373 851),2J50,2J50 Barking Riverside to Gospel Oak,11:46:00,00:43:00
57,page 9,click (2373 506),2J47,2J47 Gospel Oak to Barking Riverside,11:52:00,00:41:00
58,page 9,click (2373 575),2J52,2J52 Barking Riverside to Gospel Oak,12:01:00,00:42:00
59,page 9,click (2373 644),2J49,2J49 Gospel Oak to Barking Riverside,12:07:00,00:41:00
60,page 9,click (2373 713),2J54,2J54 Barking Riverside to Gospel Oak,12:16:00,00:42:00
61,page 9,click (2373 782),2J51,2J51 Gospel Oak to Barking Riverside,12:22:00,00:41:00
62,page 9,click (2373 851),2J56,2J56 Barking Riverside to Gospel Oak,12:31:00,00:43:00
63,page 10,click (2373 506),2J53,2J53 Gospel Oak to Barking Riverside,12:37:00,00:41:00
64,page 10,click (2373 575),2J58,2J58 Barking Riverside to Gospel Oak,12:46:00,00:42:00
65,page 10,click (2373 644),2J55,2J55 Gospel Oak to Barking Riverside,12:50:00,00:41:00
66,page 10,click (2373 713),2J60,2J60 Barking Riverside to Gospel Oak,13:01:00,00:42:00
67,page 10,click (2373 782),2J57,2J57 Gospel Oak to Barking Riverside,13:07:00,00:41:00
68,page 10,click (2373 851),2J62,2J62 Barking Riverside to Gospel Oak,13:16:00,00:42:00
69,page 11,click (2373 506),2J59,2J59 Gospel Oak to Barking Riverside,13:22:00,00:41:00
70,page 11,click (2373 575),2J64,2J64 Barking Riverside to Gospel Oak,13:31:00,00:43:00
71,page 11,click (2373 644),2J61,2J61 Gospel Oak to Barking Riverside,13:37:00,00:41:00
72,page 11,click (2373 713),2J66,2J66 Barking Riverside to Gospel Oak,13:46:00,00:42:00
73,page 11,click (2373 782),2J63,2J63 Gospel Oak to Barking Riverside,13:52:00,00:41:00
74,page 11,click (2373 851),2J68,2J68 Barking Riverside to Gospel Oak,14:01:00,00:42:00
75,page 12,click (2373 506),2J65,2J65 Gospel Oak to Barking Riverside,14:07:00,00:41:00
76,page 12,click (2373 575),2J70,2J70 Barking Riverside to Gospel Oak,14:16:00,00:42:00
77,page 12,click (2373 644),2J67,2J67 Gospel Oak to Barking Riverside,14:22:00,00:41:00
78,page 12,click (2373 713),2J72,2J72 Barking Riverside to Gospel Oak,14:31:00,00:43:00
79,page 12,click (2373 782),2J69,2J69 Gospel Oak to Barking Riverside,14:37:00,00:41:00
80,page 12,click (2373 851),2J74,2J74 Barking Riverside to Gospel Oak,14:46:00,00:42:00
81,page 13,click (2373 368),2J72,2J72 Barking Riverside to Gospel Oak,14:31:00,00:45:00
82,page 13,click (2373 575),2J71,2J71 Gospel Oak to Barking Riverside,14:52:00,00:41:00
83,page 13,click (2373 644),2J76,2J76 Barking Riverside to Gospel Oak,15:01:00,00:42:00
84,page 13,click (2373 713),2J73,2J73 Gospel Oak to Barking Riverside,15:07:00,00:41:00
85,page 13,click (2373 782),2J78,2J78 Barking Riverside to Gospel Oak,15:16:00,00:42:00
86,page 13,click (2373 851),2J75,2J75 Gospel Oak to Barking Riverside,15:22:00,00:41:00
87,page 13,click (2373 920),2J80,2J80 Barking Riverside to Gospel Oak,15:31:00,00:43:00
88,page 14,click (2373 506),2J77,2J77 Gospel Oak to Barking Riverside,15:37:00,00:41:00
89,page 14,click (2373 575),2J82,2J82 Barking Riverside to Gospel Oak,15:46:00,00:42:00
90,page 14,click (2373 644),2J79,2J79 Gospel Oak to Barking Riverside,15:52:00,00:41:00
91,page 14,click (2373 713),2J84,2J84 Barking Riverside to Gospel Oak,16:01:00,00:42:00
92,page 14,click (2373 782),2J81,2J81 Gospel Oak to Barking Riverside,16:07:00,00:41:00
93,page 14,click (2373 851),2J86,2J86 Barking Riverside to Gospel Oak,16:16:00,00:42:00
94,page 15,click (2373 575),2J83,2J83 Gospel Oak to Barking Riverside,16:22:00,00:41:00
95,page 15,click (2373 644),2J88,2J88 Barking Riverside to Gospel Oak,16:31:00,00:43:00
96,page 15,click (2373 713),2J85,2J85 Gospel Oak to Barking Riverside,16:37:00,00:41:00
97,page 15,click (2373 782),2J90,2J90 Barking Riverside to Gospel Oak,16:46:00,00:42:00
98,page 15,click (2373 851),2J87,2J87 Gospel Oak to Barking Riverside,16:52:00,00:41:00
99,page 15,click (2373 920),2J92,2J92 Barking Riverside to Gospel Oak,17:01:00,00:42:00
100,page 16,click (2373 575),2J89,2J89 Gospel Oak to Barking Riverside,17:07:00,00:41:00
101,page 16,click (2373 644),2J94,2J94 Barking Riverside to Gospel Oak,17:16:00,00:42:00
102,page 16,click (2373 713),2J91,2J91 Gospel Oak to Barking Riverside,17:22:00,00:41:00
103,page 16,click (2373 782),2J96,2J96 Barking Riverside to Gospel Oak,17:31:00,00:43:00
104,page 16,click (2373 851),2J93,2J93 Gospel Oak to Barking Riverside,17:37:00,00:41:00
105,page 17,click (2373 506),2J98,2J98 Barking Riverside to Gospel Oak,17:46:00,00:42:00
106,page 17,click (2373 575),2J95,2J95 Gospel Oak to Barking Riverside,17:52:00,00:41:00
107,page 17,click (2373 644),2J00,2J00 Barking Riverside to Gospel Oak,18:01:00,00:42:00
108,page 17,click (2373 713),2J97,2J97 Gospel Oak to Barking Riverside,18:07:00,00:41:00
109,page 17,click (2373 782),2J02,2J02 Barking Riverside to Gospel Oak,18:16:00,00:42:00
110,page 17,click (2373 851),2J99,2J99 Gospel Oak to Barking Riverside,18:22:00,00:41:00
111,page 18,click (2373 506),2J04,2J04 Barking Riverside to Gospel Oak,18:31:00,00:42:00
112,page 18,click (2373 575),2J01,2J01 Gospel Oak to Barking Riverside,18:37:00,00:41:00
113,page 18,click (2373 644),2J06,2J06 Barking Riverside to Gospel Oak,18:46:00,00:42:00
114,page 18,click (2373 713),2J03,2J03 Gospel Oak to Barking Riverside,18:52:00,00:41:00
115,page 18,click (2373 782),2J08,2J08 Barking Riverside to Gospel Oak,19:01:00,00:43:00
116,page 18,click (2373 851),2J05,2J05 Gospel Oak to Barking Riverside,19:05:00,00:42:00
117,page 19,click (2373 506),2J10,2J10 Barking Riverside to Gospel Oak,19:16:00,00:42:00
118,page 19,click (2373 575),2J07,2J07 Gospel Oak to Barking Riverside,19:22:00,00:41:00
119,page 19,click (2373 644),2J12,2J12 Barking Riverside to Gospel Oak,19:31:00,00:42:00
120,page 19,click (2373 713),2J09,2J09 Gospel Oak to Barking Riverside,19:37:00,00:42:00
121,page 19,click (2373 782),2J14,2J14 Barking Riverside to Gospel Oak,19:46:00,00:42:00
122,page 19,click (2373 851),2J11,2J11 Gospel Oak to Barking Riverside,19:52:00,00:41:00
123,page 20,click (2373 506),2J16,2J16 Barking Riverside to Gospel Oak,20:01:00,00:42:00
124,page 20,click (2373 575),2J13,2J13 Gospel Oak to Barking Riverside,20:07:00,00:41:00
125,page 20,click (2373 644),2J18,2J18 Barking Riverside to Gospel Oak,20:16:00,00:43:00
126,page 20,click (2373 713),2J15,2J15 Gospel Oak to Barking Riverside,20:22:00,00:41:00
127,page 20,click (2373 782),2J20,2J20 Barking Riverside to Gospel Oak,20:31:00,00:42:00
128,page 20,click (2373 851),2J17,2J17 Gospel Oak to Barking Riverside,20:37:00,00:41:00
129,page 21,click (2373 506),2J22,2J22 Barking Riverside to Gospel Oak,20:46:00,00:42:00
130,page 21,click (2373 575),2J19,2J19 Gospel Oak to Barking Riverside,20:52:00,00:41:00
131,page 21,click (2373 644),2J24,2J24 Barking Riverside to Gospel Oak,21:01:00,00:42:00
132,page 21,click (2373 713),2J21,2J21 Gospel Oak to Barking Riverside,21:07:00,00:41:00
133,page 21,click (2373 782),2J26,2J26 Barking Riverside to Gospel Oak,21:15:00,00:42:00
134,page 21,click (2373 851),2J23,2J23 Gospel Oak to Barking Riverside,21:22:00,00:41:00
135,page 22,click (2373 506),2J28,2J28 Barking Riverside to Gospel Oak,21:31:00,00:42:00
136,page 22,click (2373 575),2J25,2J25 Gospel Oak to Upper Holloway,21:37:00,00:41:00
137,page 22,click (2373 644),2J30,2J30 Barking Riverside to Gospel Oak,21:45:00,00:40:00
138,page 22,click (2373 713),2J27,2J27 Gospel Oak to Barking Riverside,21:50:00,00:41:00
139,page 22,click (2373 782),2J32,2J32 Barking Riverside to Gospel Oak,22:01:00,00:42:00
140,page 22,click (2373 851),2J29,2J29 Gospel Oak to Barking Riverside,22:05:00,00:42:00
141,page 23,click (2373 506),5J28,5J28 Gospel Oak to Upper Holloway,22:19:00,00:06:00
142,page 23,click (2373 575),2J34,2J34 Barking Riverside to Gospel Oak,22:21:00,00:43:00
143,page 23,click (2373 644),2J31,2J31 Gospel Oak to Barking Riverside,22:27:00,00:41:00
144,page 23,click (2373 713),5M28,5M28 Upper Holloway to Upper Holloway Reception Sidin,22:27:00,00:05:00
145,page 23,click (2373 782),5J25,5J25 Barking Riverside to East Ham E.M.U.D.,22:32:00,00:12:00
146,page 23,click (2373 851),2J36,2J36 Barking Riverside to Gospel Oak,22:41:00,00:42:00
147,page 24,click (2373 506),2J33,2J33 Gospel Oak to Barking Riverside,22:48:00,00:41:00
148,page 24,click (2373 575),2J38,2J38 Barking Riverside to Gospel Oak,23:01:00,00:42:00
