number,page,click,service_id,service_name,time,duration
116,page 18,click (2373 851),2J05,2J05 Gospel Oak to Barking Riverside,19:05:00,00:42:00
117,page 19,click (2373 506),2J10,2J10 Barking Riverside to Gospel Oak,19:16:00,00:42:00
118,page 19,click (2373 575),2J07,2J07 Gospel Oak to Barking Riverside,19:22:00,00:41:00
119,page 19,click (2373 644),2J12,2J12 Barking Riverside to Gospel Oak,19:31:00,00:42:00
120,page 19,click (2373 713),2J09,2J09 Gospel Oak to Barking Riverside,19:37:00,00:42:00
121,page 19,click (2373 782),2J14,2J14 Barking Riverside to Gospel Oak,19:46:00,00:42:00
122,page 19,click (2373 851),2J11,2J11 Gospel Oak to Barking Riverside,19:52:00,00:41:00
123,page 20,click (2373 506),2J16,2J16 Barking Riverside to Gospel Oak,20:01:00,00:42:00
124,page 20,click (2373 575),2J13,2J13 Gospel Oak to Barking Riverside,20:07:00,00:41:00
125,page 20,click (2373 644),2J18,2J18 Barking Riverside to Gospel Oak,20:16:00,00:43:00
126,page 20,click (2373 713),2J15,2J15 Gospel Oak to Barking Riverside,20:22:00,00:41:00
127,page 20,click (2373 782),2J20,2J20 Barking Riverside to Gospel Oak,20:31:00,00:42:00
128,page 20,click (2373 851),2J17,2J17 Gospel Oak to Barking Riverside,20:37:00,00:41:00
129,page 21,click (2373 506),2J22,2J22 Barking Riverside to Gospel Oak,20:46:00,00:42:00
130,page 21,click (2373 575),2J19,2J19 Gospel Oak to Barking Riverside,20:52:00,00:41:00
131,page 21,click (2373 644),2J24,2J24 Barking Riverside to Gospel Oak,21:01:00,00:42:00
132,page 21,click (2373 713),2J21,2J21 Gospel Oak to Barking Riverside,21:07:00,00:41:00
133,page 21,click (2373 782),2J26,2J26 Barking Riverside to Gospel Oak,21:15:00,00:42:00
134,page 21,click (2373 851),2J23,2J23 Gospel Oak to Barking Riverside,21:22:00,00:41:00
135,page 22,click (2373 506),2J28,2J28 Barking Riverside to Gospel Oak,21:31:00,00:42:00
136,page 22,click (2373 575),2J25,2J25 Gospel Oak to Upper Holloway,21:37:00,00:41:00
137,page 22,click (2373 644),2J30,2J30 Barking Riverside to Gospel Oak,21:45:00,00:40:00
138,page 22,click (2373 713),2J27,2J27 Gospel Oak to Barking Riverside,21:50:00,00:41:00
139,page 22,click (2373 782),2J32,2J32 Barking Riverside to Gospel Oak,22:01:00,00:42:00
140,page 22,click (2373 851),2J29,2J29 Gospel Oak to Barking Riverside,22:05:00,00:42:00
141,page 23,click (2373 506),5J28,5J28 Gospel Oak to Upper Holloway,22:19:00,00:06:00
142,page 23,click (2373 575),2J34,2J34 Barking Riverside to Gospel Oak,22:21:00,00:43:00
143,page 23,click (2373 644),2J31,2J31 Gospel Oak to Barking Riverside,22:27:00,00:41:00
144,page 23,click (2373 713),5M28,5M28 Upper Holloway to Upper Holloway Reception Sidin,22:27:00,00:05:00
145,page 23,click (2373 782),5J25,5J25 Barking Riverside to East Ham E.M.U.D.,22:32:00,00:12:00
146,page 23,click (2373 851),2J36,2J36 Barking Riverside to Gospel Oak,22:41:00,00:42:00
147,page 24,click (2373 506),2J33,2J33 Gospel Oak to Barking Riverside,22:48:00,00:41:00
148,page 24,click (2373 575),2J38,2J38 Barking Riverside to Gospel Oak,23:01:00,00:42:00
149,page 24,click (2373 644),2J35,2J35 Gospel Oak to Barking Riverside,23:08:00,00:41:00
150,page 24,click (2373 713),2J40,2J40 Barking Riverside to Gospel Oak,23:21:00,00:42:00
151,page 24,click (2373 782),2J37,2J37 Gospel Oak to Barking Riverside,23:28:00,00:42:00
152,page 24,click (2373 851),2J42,2J42 Barking Riverside to Gospel Oak,23:41:00,00:42:00
153,page 25,click (2373 713),5J38,5J38 Gospel Oak to Upper Holloway,23:53:00,00:06:00
154,page 25,click (2373 782),5J39,5J39 Upper Holloway to Upper Holloway Reception Siding,00:04:00,00:05:00
155,page 25,click (2373 851),5J40,5J40 Gospel Oak to Upper Holloway,00:05:00,00:07:00
