number,page,click,service_id,service_name,time,duration
1,page 0,click (2411 371),201D-1,201D-1 Stonebridge Park Depot - Stonebridge Park,05:02:00,00:06:00
2,page 0,click (2411 440),201D-2,201D-2 Stonebridge Park - Harrow & Wealdstone,05:13:00,00:18:00
3,page 0,click (2411 509),231-1,231-1 London Road - Lambeth North Shunt,05:18:00,00:04:00
4,page 0,click (2411 578),202D-1,202D-1 Stonebridge Park - Elephant & Castle,05:19:00,00:45:00
5,page 0,click (2411 647),232-1,232-1 London Road - Lambeth North Shunt,05:26:00,00:04:00
6,page 0,click (2411 716),221D-1,221D-1 Queen's Park - Stonebridge Depot,05:28:00,00:14:00
7,page 0,click (2411 785),231-2,231-2 Lambeth North Shunt - Elephant & Castle,05:29:00,00:09:00
8,page 0,click (2411 854),222-1,222-1 Queen's Park - Harrow & Wealdstone,05:31:00,00:28:00
9,page 1,click (2411 509),245-1,245-1 Elephant & Castle - Harrow & Wealdstone,05:35:00,00:53:00
10,page 1,click (2411 578),201D-3,201D-3 Harrow & Wealdstone to Elephant & Castle,05:35:00,00:52:00
11,page 1,click (2411 647),233-1,233-1 London Road - Lambeth North Shunt,05:36:00,00:05:00
12,page 1,click (2411 716),232-2,232-2 Lambeth North Shunt - Elephant & Castle,05:37:00,00:03:00
13,page 1,click (2411 785),231-3,231-3 Elephant & Castle - Harrow & Wealdstone,05:44:00,00:58:00
14,page 1,click (2411 854),234-1,234-1 London Road - Lambeth North Shunt,05:45:00,00:05:00
15,page 2,click (2411 509),223-2,223-2 Queen's Park to Elephant & Castle,05:46:00,00:29:00
16,page 2,click (2411 578),233-2,233-2 Lambeth North Shunt - Elephant & Castle,05:47:00,00:02:00
17,page 2,click (2411 647),221D-3,221D-3 Stonebridge Park - Elephant & Castle,05:48:00,00:46:00
18,page 2,click (2411 716),224D-1,224D-1 Queen's Park - Harrow & Wealdstone,05:51:00,00:28:00
19,page 2,click (2411 785),232-3,232-3 Elephant & Castle to Queen's Park,05:54:00,00:29:00
20,page 2,click (2411 854),234-2,234-2 Lambeth North Shunt - Elephant & Castle,05:56:00,00:02:00
21,page 3,click (2411 509),203-1,203-1 Stonebridge Park - Elephant & Castle,05:57:00,00:44:00
22,page 3,click (2411 578),233-3,233-3 Elephant & Castle - Harrow & Wealdstone,06:01:00,00:54:00
23,page 3,click (2411 647),204-1,204-1 Stonebridge Park - Elephant & Castle,06:02:00,00:44:00
24,page 3,click (2411 716),222-2,222-2 Harrow & Wealdstone to Elephant & Castle,06:04:00,00:51:00
25,page 3,click (2411 785),234-3,234-3 Elephant & Castle - Stonebridge Park,06:09:00,00:46:00
26,page 3,click (2411 854),202D-2,202D-2 Elephant & Castle - Harrow & Wealdstone,06:17:00,00:53:00
27,page 4,click (2411 509),205-1,205-1 Stonebridge Park - Elephant & Castle,06:18:00,00:46:00
28,page 4,click (2411 578),235-1,235-1 London Road Depot to Queen's Park,06:20:00,00:32:00
29,page 4,click (2411 647),225-2,225-2 Queen's Park to Elephant & Castle,06:21:00,00:29:00
30,page 4,click (2411 716),206D-1,206D-1 Stonebridge Park - Kilburn High Road,06:22:00,00:12:00
31,page 4,click (2411 785),224D-2,224D-2 Harrow & Wealdstone to Elephant & Castle,06:23:00,00:53:00
32,page 4,click (2411 854),226D-1,226D-1 Queen's Park South Shed - Queen's Park North Sh,06:24:00,00:03:00
33,page 5,click (2411 509),223-4,223-4 Elephant & Castle to Queen's Park,06:24:00,00:32:00
34,page 5,click (2411 578),236-1,236-1 London Road Depot - Harrow & Wealdstone,06:28:00,00:54:00
35,page 5,click (2411 647),207-1,207-1 Stonebridge Park - Elephant & Castle,06:28:00,00:45:00
36,page 5,click (2411 716),232-4,232-4 Queen's Park to Elephant & Castle,06:30:00,00:31:00
37,page 5,click (2411 785),201D-4,201D-4 Elephant & Castle to Queen's Park,06:33:00,00:30:00
