number,page,click,service_id,service_name,time,duration
1,page 0,click (2411 371),,Stonebridge Park Depot - Stonebridge Park,05:02:00,00:06:00
2,page 0,click (2411 440),,Stonebridge Park - Harrow & Wealdstone,05:13:00,00:18:00
3,page 0,click (2411 509),,London Road - Lambeth North Shunt,05:18:00,00:04:00
4,page 0,click (2411 578),,Stonebridge Park - Elephant & Castle,05:19:00,00:45:00
5,page 0,click (2411 647),,London Road - Lambeth North Shunt,05:26:00,00:04:00
6,page 0,click (2411 716),,Queen's Park - Stonebridge Depot,05:28:00,00:14:00
7,page 0,click (2411 785),,Lambeth North Shunt - Elephant & Castle,05:29:00,00:09:00
8,page 0,click (2411 854),,Queen's Park - Harrow & Wealdstone,05:31:00,00:28:00
9,page 1,click (2411 509),,Elephant & Castle - Harrow & Wealdstone,05:35:00,00:53:00
10,page 1,click (2411 578),,Harrow & Wealdstone to Elephant & Castle,05:35:00,00:52:00
11,page 1,click (2411 647),,London Road - Lambeth North Shunt,05:36:00,00:05:00
12,page 1,click (2411 716),,Lambeth North Shunt - Elephant & Castle,05:37:00,00:03:00
13,page 1,click (2411 785),,Elephant & Castle - Harrow & Wealdstone,05:44:00,00:58:00
14,page 1,click (2411 854),,London Road - Lambeth North Shunt,05:45:00,00:05:00
15,page 2,click (2411 509),,Queen's Park to Elephant & Castle,05:46:00,00:29:00
16,page 2,click (2411 578),,Lambeth North Shunt - Elephant & Castle,05:47:00,00:02:00
17,page 2,click (2411 647),,Stonebridge Park - Elephant & Castle,05:48:00,00:46:00
18,page 2,click (2411 716),,Queen's Park - Harrow & Wealdstone,05:51:00,00:28:00
19,page 2,click (2411 785),,Elephant & Castle to Queen's Park,05:54:00,00:29:00
20,page 2,click (2411 854),,Lambeth North Shunt - Elephant & Castle,05:56:00,00:02:00
21,page 3,click (2411 509),,Stonebridge Park - Elephant & Castle,05:57:00,00:44:00
22,page 3,click (2411 578),,Elephant & Castle - Harrow & Wealdstone,06:01:00,00:54:00
23,page 3,click (2411 647),,Stonebridge Park - Elephant & Castle,06:02:00,00:44:00
24,page 3,click (2411 716),,Harrow & Wealdstone to Elephant & Castle,06:04:00,00:51:00
25,page 3,click (2411 785),,Elephant & Castle - Stonebridge Park,06:09:00,00:46:00
26,page 3,click (2411 854),,Elephant & Castle - Harrow & Wealdstone,06:17:00,00:53:00
27,page 4,click (2411 509),,Stonebridge Park - Elephant & Castle,06:18:00,00:46:00
28,page 4,click (2411 578),,London Road Depot to Queen's Park,06:20:00,00:32:00
29,page 4,click (2411 647),,Queen's Park to Elephant & Castle,06:21:00,00:29:00
30,page 4,click (2411 716),,Stonebridge Park - Kilburn High Road,06:22:00,00:12:00
31,page 4,click (2411 785),,Harrow & Wealdstone to Elephant & Castle,06:23:00,00:53:00
32,page 4,click (2411 854),,Queen's Park South Shed - Queen's Park North Sh,06:24:00,00:03:00
33,page 5,click (2411 509),,Elephant & Castle to Queen's Park,06:24:00,00:32:00
34,page 5,click (2411 578),,London Road Depot - Harrow & Wealdstone,06:28:00,00:54:00
35,page 5,click (2411 647),,Stonebridge Park - Elephant & Castle,06:28:00,00:45:00
36,page 5,click (2411 716),,Queen's Park to Elephant & Castle,06:30:00,00:31:00
37,page 5,click (2411 785),,Elephant & Castle to Queen's Park,06:33:00,00:30:00
38,page 5,click (2411 854),,Stonebridge Park - Elephant & Castle,06:34:00,00:46:00
39,page 6,click (2411 509),,London Road Depot to Queen's Park,06:35:00,00:34:00
40,page 6,click (2411 578),,Harrow & Wealdstone to Elephant & Castle,06:37:00,00:55:00
41,page 6,click (2411 647),,Queen's Park to Elephant & Castle,06:37:00,00:31:00
42,page 6,click (2411 716),,Queen's Park South Shed - Queen's Park North Shed,06:40:00,00:03:00
43,page 6,click (2411 785),,Elephant & Castle - Harrow & Wealdstone,06:40:00,00:54:00
44,page 6,click (2411 854),,Stonebridge Park - Elephant & Castle,06:41:00,00:45:00
45,page 7,click (2411 509),,London Road Depot to Queen's Park,06:43:00,00:31:00
46,page 7,click (2411 578),,Elephant & Castle - Harrow & Wealdstone,06:47:00,00:56:00
47,page 7,click (2411 647),,Kilburn High Road - Stonebridge Park,06:47:00,00:11:00
48,page 7,click (2411 716),,London Road Depot to Queen's Park,06:49:00,00:31:00
49,page 7,click (2411 785),,Harrow & Wealdstone to Elephant & Castle,06:51:00,00:52:00
50,page 7,click (2411 854),,Elephant & Castle to Queen's Park,06:53:00,00:32:00
51,page 8,click (2411 509),,Queen's Park to Elephant & Castle,06:53:00,00:30:00
52,page 8,click (2411 578),,London Road Depot - Harrow & Wealdstone,06:55:00,00:57:00
53,page 8,click (2411 647),,Stonebridge Park - Elephant & Castle,06:56:00,00:45:00
54,page 8,click (2411 716),,Elephant & Castle to Queen's Park,06:58:00,00:31:00
55,page 8,click (2411 785),,Queen's Park to Elephant & Castle,06:59:00,00:30:00
56,page 8,click (2411 854),,Elephant & Castle - Stonebridge Park,07:01:00,00:44:00
57,page 9,click (2411 509),,Harrow & Wealdstone to Elephant & Castle,07:05:00,00:54:00
58,page 9,click (2411 578),,Queen's Park to Elephant & Castle,07:05:00,00:30:00
59,page 9,click (2411 647),,Elephant & Castle to Queen's Park,07:05:00,00:30:00
60,page 9,click (2411 716),,London Road Depot to Queen's Park,07:07:00,00:32:00
61,page 9,click (2411 785),,Stonebridge Park - Elephant & Castle,07:07:00,00:42:00
62,page 9,click (2411 854),,Queen's Park to Elephant & Castle,07:08:00,00:30:00
63,page 10,click (2411 509),,Elephant & Castle - Harrow & Wealdstone,07:10:00,00:55:00
64,page 10,click (2411 578),,Elephant & Castle to Queen's Park,07:13:00,00:31:00
65,page 10,click (2411 647),,Queen's Park to Elephant & Castle,07:16:00,00:31:00
66,page 10,click (2411 716),,Elephant & Castle - Harrow & Wealdstone,07:17:00,00:56:00
67,page 10,click (2411 785),,Stonebridge Park - Elephant & Castle,07:18:00,00:45:00
68,page 10,click (2411 854),,Harrow & Wealdstone to Elephant & Castle,07:19:00,00:53:00
69,page 11,click (2411 509),,Elephant & Castle to Queen's Park,07:20:00,00:30:00
70,page 11,click (2411 578),,Queen's Park to Elephant & Castle,07:22:00,00:30:00
71,page 11,click (2411 647),,Elephant & Castle to Queen's Park,07:23:00,00:30:00
72,page 11,click (2411 716),,Harrow & Wealdstone to Elephant & Castle,07:25:00,00:53:00
73,page 11,click (2411 785),,Queen's Park to Elephant & Castle,07:25:00,00:30:00
74,page 11,click (2411 854),,Elephant & Castle - Harrow & Wealdstone,07:26:00,00:56:00
75,page 12,click (2411 509),,Elephant & Castle to Queen's Park,07:29:00,00:30:00
76,page 12,click (2411 578),,Queen's Park to Elephant & Castle,07:30:00,00:30:00
77,page 12,click (2411 647),,Elephant & Castle - Stonebridge Park,07:32:00,00:41:00
78,page 12,click (2411 716),,Elephant & Castle to Queen's Park,07:35:00,00:30:00
79,page 12,click (2411 785),,Stonebridge Park - Elephant & Castle,07:36:00,00:47:00
80,page 12,click (2411 854),,Queen's Park to Elephant & Castle,07:36:00,00:30:00
81,page 13,click (2411 578),,Elephant & Castle to Queen's Park,07:38:00,00:30:00
82,page 13,click (2411 647),,Harrow & Wealdstone to Elephant & Castle,07:38:00,00:54:00
83,page 13,click (2411 716),,Queen's Park to Elephant & Castle,07:39:00,00:30:00
84,page 13,click (2411 785),,Elephant & Castle - Harrow & Wealdstone,07:41:00,00:54:00
85,page 13,click (2411 854),,Elephant & Castle - Stonebridge Park,07:44:00,00:43:00
86,page 13,click (2411 923),,Queen's Park to Elephant & Castle,07:45:00,00:30:00
87,page 14,click (2411 578),,Elephant & Castle to Queen's Park,07:46:00,00:30:00
88,page 14,click (2411 647),,Harrow & Wealdstone to Elephant & Castle,07:49:00,00:54:00
89,page 14,click (2411 716),,Elephant & Castle - Harrow & Wealdstone,07:49:00,00:53:00
90,page 14,click (2411 785),,Queen's Park to Elephant & Castle,07:50:00,00:30:00
91,page 14,click (2411 854),,Stonebridge Park - Elephant & Castle,07:51:00,00:46:00
92,page 14,click (2411 923),,Elephant & Castle to Queen's Park,07:52:00,00:30:00
93,page 15,click (2411 578),,Harrow & Wealdstone to Elephant & Castle,07:55:00,00:53:00
94,page 15,click (2411 647),,Elephant & Castle to Queen's Park,07:55:00,00:30:00
95,page 15,click (2411 716),,Queen's Park to Elephant & Castle,07:55:00,00:30:00
96,page 15,click (2411 785),,Elephant & Castle - Stonebridge Park,07:58:00,00:43:00
97,page 15,click (2411 854),,Queen's Park to Elephant & Castle,07:58:00,00:30:00
98,page 15,click (2411 923),,Elephant & Castle to Queen's Park,08:00:00,00:30:00
99,page 16,click (2411 578),,Elephant & Castle - Harrow & Wealdstone,08:03:00,00:53:00
100,page 16,click (2411 647),,Queen's Park to Elephant & Castle,08:03:00,00:30:00
101,page 16,click (2411 716),,Elephant & Castle to Queen's Park,08:05:00,00:31:00
102,page 16,click (2411 785),,Stonebridge Park - Elephant & Castle,08:06:00,00:47:00
103,page 16,click (2411 854),,Harrow & Wealdstone to Elephant & Castle,08:08:00,00:53:00
104,page 16,click (2411 923),,Elephant & Castle to Queen's Park,08:08:00,00:31:00
105,page 17,click (2411 578),,Queen's Park to Elephant & Castle,08:09:00,00:30:00
106,page 17,click (2411 647),,Elephant & Castle - Stonebridge Park,08:11:00,00:42:00
107,page 17,click (2411 716),,Elephant & Castle to Queen's Park,08:14:00,00:31:00
108,page 17,click (2411 785),,Queen's Park to Elephant & Castle,08:15:00,00:30:00
109,page 17,click (2411 854),,Elephant & Castle - Harrow & Wealdstone,08:17:00,00:53:00
110,page 17,click (2411 923),,Harrow & Wealdstone to Elephant & Castle,08:19:00,00:53:00
111,page 18,click (2411 578),,Elephant & Castle to Queen's Park,08:19:00,00:31:00
112,page 18,click (2411 647),,Queen's Park to Elephant & Castle,08:20:00,00:30:00
113,page 18,click (2411 716),,Elephant & Castle to Queen's Park,08:22:00,00:31:00
114,page 18,click (2411 785),,Stonebridge Park - Elephant & Castle,08:22:00,00:42:00
115,page 18,click (2411 854),,Elephant & Castle - Stonebridge Park,08:25:00,00:44:00
116,page 18,click (2411 923),,Harrow & Wealdstone to Elephant & Castle,08:25:00,00:53:00
117,page 19,click (2411 509),,Harrow & Wealdstone to Elephant & Castle,08:25:00,00:52:00
