number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),3809,3809 Sunnyside Yard - NY Penn Station,03:29:00,00:12:00
2,page 0,click (2373 437),6602,6602 Dover - NY Penn Station,04:13:00,01:29:00
3,page 0,click (2373 506),3813,3813 Sunnyside Yard - NY Penn Station,04:26:00,00:13:00
4,page 0,click (2373 575),6604,6604 Dover Yard Move,04:44:00,00:05:00
5,page 0,click (2373 644),6606,6606 Dover - NY Penn Station,05:30:00,01:25:00
6,page 0,click (2373 713),6610,6610 Dover - NY Penn Station,05:51:00,01:24:00
7,page 0,click (2373 782),6612,6612 Dover Yard Move,05:53:00,00:05:00
8,page 0,click (2373 851),6209,6209 NY Penn Station - Montclair State University,05:54:00,00:16:00
9,page 1,click (2373 506),607,607 Hoboken - Dover,06:14:00,01:33:00
10,page 1,click (2373 575),6614,6614 Dover Yard Move,06:24:00,00:05:00
11,page 1,click (2373 644),6616,6616 Dover Yard Move,06:45:00,00:05:00
12,page 1,click (2373 713),6406,6406 Gladstone - NY Penn Station,06:47:00,00:40:00
13,page 1,click (2373 782),6213,6213 NY Penn Station - Montclair State University,06:50:00,00:17:00
14,page 1,click (2373 851),204,204 Montclair State University - Hoboken,06:58:00,00:18:00
15,page 2,click (2373 506),6607,6607 NY Penn Station - Dover,07:07:00,01:28:00
16,page 2,click (2373 575),6314,6314 Summit - NY Penn Station,07:09:00,00:50:00
17,page 2,click (2373 644),6410,6410 Gladstone - NY Penn Station,07:24:00,00:48:00
18,page 2,click (2373 713),6620,6620 Dover - NY Penn Station,07:30:00,01:24:00
19,page 2,click (2373 782),6318,6318 Summit - NY Penn Station,07:47:00,00:54:00
20,page 2,click (2373 851),3918,3918 NY Penn Station - Sunnyside Yard,07:53:00,00:25:00
21,page 3,click (2373 506),6613,6613 NY Penn Station - Dover,08:00:00,01:35:00
22,page 3,click (2373 575),6320,6320 Summit - NY Penn Station,08:17:00,00:51:00
23,page 3,click (2373 644),3922,3922 NY Penn Station - Sunnyside Yard,08:26:00,00:27:00
24,page 3,click (2373 713),3222,3222 NY Penn Station - Sunnyside Yard,08:40:00,00:33:00
