number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),XT16,XT16 Hoboken Yard Move,04:09:00,00:02:00
2,page 0,click (2373 437),XB04,XB04 Hoboken Yard Move,04:13:00,00:05:00
3,page 0,click (2373 506),X31,X31 Hoboken - Summit,04:29:00,00:32:00
4,page 0,click (2373 575),301,301 Hoboken - Murray Hill,04:37:00,00:50:00
5,page 0,click (2373 644),400,400 Gladstone - Hoboken,05:17:00,00:32:00
6,page 0,click (2373 713),300,300 Summit - Hoboken,05:21:00,00:49:00
7,page 0,click (2373 782),XB22,XB22 Hoboken Yard Move,05:37:00,00:05:00
8,page 0,click (2373 851),608,608 Dover - Hoboken,05:41:00,01:24:00
9,page 1,click (2373 506),402,402 Gladstone - Hoboken,05:53:00,00:39:00
10,page 1,click (2373 575),X33,X33 Hoboken - Summit,05:57:00,00:33:00
11,page 1,click (2373 644),404,404 Gladstone - Hoboken,06:24:00,00:38:00
12,page 1,click (2373 713),211,211 Hoboken - Montclair State University,06:36:00,00:17:00
13,page 1,click (2373 782),481,481 Hoboken - Gladstone,06:53:00,00:52:00
14,page 1,click (2373 851),308,308 Summit - Hoboken,06:54:00,00:48:00
15,page 2,click (2373 506),408,408 Gladstone - Hoboken,06:59:00,00:50:00
16,page 2,click (2373 575),309,309 Hoboken - Summit,07:33:00,00:51:00
17,page 2,click (2373 644),412,412 Gladstone - Hoboken,07:35:00,00:37:00
18,page 2,click (2373 713),208,208 Montclair State University - Hoboken,07:38:00,00:18:00
19,page 2,click (2373 782),409,409 Hoboken - Gladstone,07:52:00,00:51:00
20,page 2,click (2373 851),XT21,XT21 Hoboken Yard Move,07:54:00,00:05:00
21,page 3,click (2373 506),414,414 Gladstone - Hoboken,08:07:00,00:38:00
22,page 3,click (2373 575),XT626,XT626 Dover Yard Move,08:15:00,00:03:00
23,page 3,click (2373 644),212,212 Montclair State University - Hoboken,08:18:00,00:18:00
24,page 3,click (2373 713),XT31,XT31 Hoboken Yard Move,08:27:00,00:05:00
25,page 3,click (2373 782),626,626 Dover - Hoboken,08:29:00,01:16:00
26,page 3,click (2373 851),XT309,XT309 Summit Yard Move (Part 1),08:29:00,00:06:00
27,page 4,click (2373 506),3710,3710 NY Penn Station - Sunnyside Yard,08:31:00,00:26:00
28,page 4,click (2373 575),416,416 Gladstone - Hoboken,08:36:00,00:36:00
29,page 4,click (2373 644),XT309,XT309 Summit Yard Move (Part 2),08:38:00,00:01:00
30,page 4,click (2373 713),XT25,XT25 Hoboken Yard Move,08:46:00,00:05:00
31,page 4,click (2373 782),411,411 Hoboken - Gladstone,08:52:00,00:49:00
32,page 4,click (2373 851),3712,3712 NY Penn Station - Sunnyside Yard,08:53:00,00:26:00
33,page 5,click (2373 506),3714,3714 NY Penn Station - Sunnyside Yard,09:14:00,00:24:00
34,page 5,click (2373 575),XT27,XT27 Hoboken Yard Move,09:24:00,00:05:00
35,page 5,click (2373 644),480,480 Gladstone - Hoboken,09:25:00,00:47:00
36,page 5,click (2373 713),413,413 Hoboken - Gladstone,09:34:00,00:50:00
37,page 5,click (2373 782),XT53,XT53 Hoboken Yard Move,09:53:00,00:05:00
38,page 5,click (2373 851),3720,3720 NY Penn Station - Sunnyside Yard,10:05:00,00:29:00
39,page 6,click (2373 506),415,415 Hoboken - Gladstone,10:34:00,00:50:00
40,page 6,click (2373 575),3508,3508 NY Penn Station - Sunnyside Yard,10:36:00,00:24:00
41,page 6,click (2373 644),418,418 Gladstone - Hoboken,10:48:00,00:49:00
42,page 6,click (2373 713),417,417 Hoboken - Gladstone,11:34:00,00:50:00
43,page 6,click (2373 782),420,420 Gladstone - Hoboken,11:39:00,00:49:00
44,page 6,click (2373 851),419,419 Hoboken - Gladstone,12:34:00,00:50:00
45,page 7,click (2373 506),422,422 Gladstone - Hoboken,12:41:00,00:50:00
46,page 7,click (2373 575),421,421 Hoboken - Gladstone,13:37:00,00:50:00
47,page 7,click (2373 644),424,424 Gladstone - Hoboken,13:41:00,00:50:00
48,page 7,click (2373 713),423,423 Hoboken - Gladstone,14:38:00,00:50:00
49,page 7,click (2373 782),426,426 Gladstone - Hoboken,14:41:00,00:48:00
50,page 7,click (2373 851),475,475 Hoboken - Gladstone,15:27:00,00:48:00
51,page 8,click (2373 506),428,428 Gladstone - Hoboken,15:43:00,00:48:00
52,page 8,click (2373 575),XT26,XT26 Hoboken Yard Move,15:59:00,00:05:00
53,page 8,click (2373 644),3723,3723 Sunnyside Yard - NY Penn Station,16:00:00,00:16:00
54,page 8,click (2373 713),3165,3165 Sunnyside Yard - NY Penn Station,16:12:00,00:15:00
55,page 8,click (2373 782),427,427 Hoboken - Gladstone,16:23:00,00:40:00
56,page 8,click (2373 851),430,430 Gladstone - Hoboken,16:28:00,00:44:00
57,page 9,click (2373 506),643,643 Hoboken - Dover,16:31:00,01:27:00
58,page 9,click (2373 575),XT28,XT28 Hoboken Yard Move,16:34:00,00:05:00
59,page 9,click (2373 644),3513,3513 Sunnyside Yard - NY Penn Station,16:41:00,00:13:00
60,page 9,click (2373 713),XT32,XT32 Hoboken Yard Move,16:59:00,00:05:00
61,page 9,click (2373 782),3727,3727 Sunnyside Yard - NY Penn Station,17:01:00,00:21:00
62,page 9,click (2373 851),429,429 Hoboken - Gladstone,17:04:00,00:38:00
63,page 10,click (2373 506),XT36,XT36 Hoboken Yard Move,17:04:00,00:05:00
64,page 10,click (2373 575),645,645 Hoboken - Dover,17:06:00,01:18:00
65,page 10,click (2373 644),267,267 Hoboken - Montclair State University,17:23:00,00:17:00
66,page 10,click (2373 713),337,337 Hoboken - Summit,17:32:00,00:46:00
67,page 10,click (2373 782),XT20,XT20 Hoboken Yard Move,17:34:00,00:05:00
68,page 10,click (2373 851),433,433 Hoboken - Gladstone,17:36:00,00:36:00
69,page 11,click (2373 506),432,432 Gladstone - Hoboken,17:37:00,00:41:00
70,page 11,click (2373 575),330,330 Summit - Hoboken,17:38:00,00:43:00
71,page 11,click (2373 644),3873,3873 Sunnyside Yard - NY Penn Station,17:53:00,00:13:00
72,page 11,click (2373 713),435,435 Hoboken - Gladstone,18:02:00,00:35:00
73,page 11,click (2373 782),X62,X62 Dover - Hoboken,18:11:00,01:01:00
74,page 11,click (2373 851),657,657 Hoboken - Dover,18:36:00,01:30:00
75,page 12,click (2373 506),439,439 Hoboken - Gladstone,18:39:00,00:34:00
76,page 12,click (2373 575),334,334 Summit - Hoboken,18:40:00,00:46:00
77,page 12,click (2373 644),X64,X64 Dover - Hoboken,18:47:00,01:05:00
78,page 12,click (2373 713),262,262 Montclair State University - Hoboken,19:03:00,00:18:00
79,page 12,click (2373 782),665,665 Hoboken - Dover,19:32:00,01:28:00
80,page 12,click (2373 851),443,443 Hoboken - Gladstone,19:43:00,00:34:00
81,page 13,click (2373 506),674,674 Dover - Hoboken,20:24:00,01:21:00
82,page 13,click (2373 575),447,447 Hoboken - Gladstone,20:42:00,00:49:00
83,page 13,click (2373 644),434,434 Gladstone - Hoboken,20:49:00,00:34:00
84,page 13,click (2373 713),X68,X68 Dover - Hoboken,21:20:00,00:55:00
85,page 13,click (2373 782),XT39,XT39 Hoboken Yard Move,21:34:00,00:05:00
86,page 13,click (2373 851),449,449 Hoboken - Gladstone,21:42:00,00:50:00
87,page 14,click (2373 575),XT57,XT57 Hoboken Yard Move,21:55:00,00:10:00
88,page 14,click (2373 644),438,438 Gladstone - Hoboken,22:13:00,00:48:00
89,page 14,click (2373 713),451,451 Hoboken - Gladstone,22:47:00,00:50:00
90,page 14,click (2373 782),440,440 Gladstone - Hoboken,23:30:00,00:48:00
91,page 14,click (2373 851),453,453 Hoboken - Gladstone,23:54:00,00:48:00
92,page 14,click (2373 920),XT59,XT59 Hoboken Yard Move,00:28:00,00:05:00
93,page 15,click (2373 851),442,442 Gladstone - Hoboken,00:34:00,00:45:00
