number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),3209,3209 Sunnyside Yard - NY Penn Station,03:57:00,00:13:00
2,page 0,click (2373 437),6602,6602 Dover Yard Move,03:59:00,00:05:00
3,page 0,click (2373 506),3215,3215 Sunnyside Yard - NY Penn Station,04:57:00,00:12:00
4,page 0,click (2373 575),6604,6604 Dover - NY Penn Station,04:58:00,01:30:00
5,page 0,click (2373 644),6200,6200 Montclair State University - NY Penn Station,05:10:00,00:21:00
6,page 0,click (2373 713),6606,6606 Dover Yard Move,05:16:00,00:05:00
7,page 0,click (2373 782),6610,6610 Dover Yard Move,05:37:00,00:06:00
8,page 0,click (2373 851),6202,6202 Montclair State University - NY Penn Station,05:38:00,00:24:00
9,page 1,click (2373 506),XB18,XB18 Hoboken Yard Move,05:49:00,00:05:00
10,page 1,click (2373 575),6612,6612 Dover - NY Penn Station,06:07:00,01:24:00
11,page 1,click (2373 644),6305,6305 NY Penn Station - Summit,06:07:00,00:53:00
12,page 1,click (2373 713),6204,6204 Montclair State University - NY Penn Station,06:22:00,00:23:00
13,page 1,click (2373 782),6614,6614 Dover - NY Penn Station,06:38:00,01:26:00
14,page 1,click (2373 851),6307,6307 NY Penn Station - Summit,06:41:00,00:53:00
15,page 2,click (2373 506),6616,6616 Dover - NY Penn Station,06:59:00,01:28:00
16,page 2,click (2373 575),6206,6206 Montclair State University - NY Penn Station,07:14:00,00:27:00
17,page 2,click (2373 644),6620,6620 Dover Yard Move,07:15:00,00:05:00
18,page 2,click (2373 713),X37,X37 Hoboken - Summit,07:29:00,00:52:00
19,page 2,click (2373 782),X633,X633 NY Penn Station - Summit,07:29:00,00:35:00
20,page 2,click (2373 851),6215,6215 NY Penn Station - Montclair State University,07:41:00,00:15:00
21,page 3,click (2373 506),6611,6611 NY Penn Station - Dover,07:50:00,01:26:00
22,page 3,click (2373 575),6624,6624 Dover - NY Penn Station,08:06:00,01:24:00
23,page 3,click (2373 644),3124,3124 NY Penn Station - Sunnyside Yard,08:19:00,00:22:00
24,page 3,click (2373 713),6219,6219 NY Penn Station - Montclair State University,08:20:00,00:17:00
25,page 3,click (2373 782),6315,6315 NY Penn Station - Summit,08:24:00,00:50:00
26,page 3,click (2373 851),6616,6616 NY Penn Station - Sunnyside Yard,08:34:00,00:25:00
27,page 4,click (2373 506),6214,6214 Montclair State University - NY Penn Station,08:34:00,00:24:00
28,page 4,click (2373 575),3924,3924 NY Penn Station - Sunnyside Yard,08:42:00,00:27:00
29,page 4,click (2373 644),6617,6617 NY Penn Station - Dover,08:42:00,01:24:00
30,page 4,click (2373 713),3926,3926 NY Penn Station - Sunnyside Yard,08:59:00,00:28:00
31,page 4,click (2373 782),6628,6628 Dover - NY Penn Station,09:04:00,01:20:00
32,page 4,click (2373 851),6227,6227 NY Penn Station - Montclair State University,09:09:00,00:17:00
33,page 5,click (2373 506),6216,6216 Montclair State University - NY Penn Station,09:23:00,00:26:00
34,page 5,click (2373 575),3830,3830 NY Penn Station - Sunnyside Yard,09:56:00,00:25:00
35,page 5,click (2373 644),6632,6632 Dover - NY Penn Station,10:04:00,01:21:00
36,page 5,click (2373 713),6332,6332 Summit - NY Penn Station,10:25:00,00:53:00
37,page 5,click (2373 782),6233,6233 NY Penn Station - Montclair State University,10:29:00,00:19:00
38,page 5,click (2373 851),6226,6226 Montclair State University - NY Penn Station,11:21:00,00:30:00
39,page 6,click (2373 506),6226/3243,6226/3243 NY Penn Station - NY Penn Station,11:55:00,00:37:00
40,page 6,click (2373 575),6640,6640 Dover - NY Penn Station,11:56:00,01:30:00
41,page 6,click (2373 644),6230,6230 Montclair State University - NY Penn Station,12:17:00,00:26:00
42,page 6,click (2373 713),6234,6234 Montclair State University - NY Penn Station,13:16:00,00:25:00
43,page 6,click (2373 782),3244,3244 NY Penn Station - Sunnyside Yard,13:50:00,00:25:00
44,page 6,click (2373 851),6648,6648 Dover - NY Penn Station,13:56:00,01:28:00
