number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),GB9321-05,GB9321-05 Oakville - Aldershot,03:12:00,00:22:00
2,page 0,click (2373 437),M38831-03,M38831-03 Aldershot - Oakville,03:20:00,00:22:00
3,page 0,click (2373 506),M39331-03,M39331-03 Oakville - Aldershot,04:12:00,00:22:00
4,page 0,click (2373 575),M8261-05,M8261-05 Aldershot - Oakville,04:20:00,00:22:00
5,page 0,click (2373 644),M39521-01,M39521-01 Oakville - Aldershot,05:12:00,00:22:00
6,page 0,click (2373 713),M39121-05,M39121-05 Aldershot - Oakville,05:20:00,00:22:00
7,page 0,click (2373 782),U70521-03,U70521-03 Oakville - Aldershot,06:12:00,00:22:00
8,page 0,click (2373 851),G87531-05,G87531-05 Aldershot - Oakville,06:20:00,00:22:00
9,page 1,click (2373 506),G89721-01,G89721-01 Oakville - Aldershot,07:12:00,00:22:00
10,page 1,click (2373 575),U78B21-05,U78B21-05 Aldershot - Oakville,07:20:00,00:22:00
11,page 1,click (2373 644),A43531-04,A43531-04 Oakville - Aldershot,08:12:00,00:23:00
12,page 1,click (2373 713),E22361-05,E22361-05 Aldershot - Oakville,08:20:00,00:22:00
13,page 1,click (2373 782),U77121-05,U77121-05 Oakville - Aldershot,09:12:00,00:22:00
14,page 1,click (2373 851),U79221-05,U79221-05 Aldershot - Oakville,09:20:00,00:21:00
15,page 2,click (2373 506),U55621-05,U55621-05 Oakville - Hamilton,09:25:00,00:25:00
16,page 2,click (2373 575),Y905,Y905 Hamilton Yard Switching,10:10:00,00:05:00
17,page 2,click (2373 644),M33221-05,M33221-05 Oakville - Aldershot,10:12:00,00:22:00
18,page 2,click (2373 713),Y910,Y910 Industrial Zone Switching,10:20:00,00:18:00
19,page 2,click (2373 782),M34361-05,M34361-05 Aldershot - Oakville,10:40:00,00:21:00
20,page 2,click (2373 851),L79121-05,L79121-05 Oakville - Burlington,10:45:00,00:15:00
21,page 3,click (2373 506),G83021-05,G83021-05 Oakville - Aldershot,11:12:00,00:22:00
22,page 3,click (2373 575),L79131-05,L79131-05 Burlington Yard Switching,11:15:00,00:20:00
23,page 3,click (2373 644),G86921-05,G86921-05 Aldershot - Oakville,11:20:00,00:22:00
24,page 3,click (2373 713),Y911,Y911 Hobson Street Loading,11:30:00,00:35:00
25,page 3,click (2373 782),L79141-05,L79141-05 Burlington - Oakville,11:45:00,00:18:00
26,page 3,click (2373 851),Y912,Y912 Victoria Avenue Loading,12:10:00,00:32:00
27,page 4,click (2373 506),U75531-04,U75531-04 Oakville - Aldershot,12:12:00,00:22:00
28,page 4,click (2373 575),M43421-05,M43421-05 Aldershot - Oakville,12:20:00,00:22:00
29,page 4,click (2373 644),L55121-05,L55121-05 Aldershot - Strathearne Avenue,12:35:00,00:35:00
30,page 4,click (2373 713),Y913,Y913 Industrial Zone Switching,12:45:00,00:32:00
31,page 4,click (2373 782),Y940,Y940 Oakville Yard Switching,13:00:00,00:41:00
32,page 4,click (2373 851),L55122-05,L55122-05 Strathearne Avenue Switching,13:15:00,00:06:00
33,page 5,click (2373 506),U55631-05,U55631-05 Hamilton - Oakville,13:20:00,00:29:00
34,page 5,click (2373 575),L55123-05,L55123-05 Strathearne Avenue - Aldershot,13:25:00,00:34:00
35,page 5,click (2373 644),E23121-03,E23121-03 Aldershot - Oakville,13:40:00,00:20:00
36,page 5,click (2373 713),M39431-03,M39431-03 Oakville - Aldershot,14:12:00,00:22:00
37,page 5,click (2373 782),Y915,Y915 Oakville Yard Switching,14:15:00,00:03:00
38,page 5,click (2373 851),E23231-05,E23231-05 Oakville - Aldershot,14:25:00,00:26:00
39,page 6,click (2373 506),Y935,Y935 Oakville Yard Switching,14:35:00,00:39:00
40,page 6,click (2373 575),L79721-05,L79721-05 Oakville - Burlington,14:45:00,00:17:00
41,page 6,click (2373 644),M82561-05,M82561-05 Aldershot - Oakville,14:50:00,00:23:00
42,page 6,click (2373 713),M39621-01,M39621-01 Oakville - Aldershot,15:12:00,00:22:00
43,page 6,click (2373 782),L79731-05,L79731-05 Burlington Yard Switching,15:15:00,00:20:00
44,page 6,click (2373 851),M39221-05,M39221-05 Aldershot - Oakville,15:21:00,00:22:00
45,page 7,click (2373 506),U55821-05,U55821-05 Oakville - Hamilton,15:30:00,00:25:00
46,page 7,click (2373 575),L79741-05,L79741-05 Burlington - Oakville,15:45:00,00:18:00
47,page 7,click (2373 644),U70621-03,U70621-03 Oakville - Aldershot,16:12:00,00:22:00
48,page 7,click (2373 713),Y906,Y906 Hamilton Yard Switching,16:15:00,00:05:00
49,page 7,click (2373 782),G87631-05,G87631-05 Aldershot - Oakville,16:20:00,00:22:00
50,page 7,click (2373 851),Y916,Y916 Industrial Zone Switching,16:25:00,00:18:00
51,page 8,click (2373 506),GB9821-01,GB9821-01 Oakville - Aldershot,17:12:00,00:22:00
52,page 8,click (2373 575),U78921-05,U78921-05 Aldershot - Oakville,17:20:00,00:22:00
53,page 8,click (2373 644),Y917,Y917 Hobson Street Loading,17:35:00,00:35:00
54,page 8,click (2373 713),A43631-04,A43631-04 Oakville - Aldershot,18:12:00,00:22:00
55,page 8,click (2373 782),Y918,Y918 Flank Road Loading,18:15:00,00:46:00
56,page 8,click (2373 851),E22461-05,E22461-05 Aldershot - Oakville,18:20:00,00:22:00
57,page 9,click (2373 506),Y919,Y919 Industrial Zone Switching,19:05:00,00:32:00
58,page 9,click (2373 575),U77221-05,U77221-05 Oakville - Aldershot,19:12:00,00:22:00
59,page 9,click (2373 644),U79321-05,U79321-05 Aldershot - Oakville,19:20:00,00:21:00
60,page 9,click (2373 713),U55831-05,U55831-05 Hamilton - Oakville,19:40:00,00:29:00
61,page 9,click (2373 782),M33321-05,M33321-05 Oakville - Aldershot,20:12:00,00:22:00
62,page 9,click (2373 851),M34361-05,M34361-05 Aldershot - Oakville,20:20:00,00:21:00
63,page 10,click (2373 782),G83121-05,G83121-05 Oakville - Aldershot,21:12:00,00:22:00
64,page 10,click (2373 851),G87021-05,G87021-05 Aldershot - Oakville,21:20:00,00:22:00
