number,page,click,service_id,service_name,time,duration
1,page 0,click (2373 368),,Stock Move to Bishops Lydeard,10:45:00,00:15:00
2,page 0,click (2373 437),,Lydeard - Minehead,11:15:00,01:32:00
3,page 0,click (2373 506),,Run Around at Minehead,12:55:00,00:05:00
4,page 0,click (2373 575),-,- Bishops Lydeard,13:15:00,01:30:00
5,page 0,click (2373 644),,Run Around at Bishops Lydeard,14:50:00,00:04:00
6,page 0,click (2373 713),,Lydeard - Minehead,15:15:00,01:32:00
7,page 0,click (2373 782),,Run Around at Minehead,16:55:00,00:05:00
8,page 0,click (2373 851),-,- Bishops Lydeard,17:15:00,01:20:00
9,page 0,click (2373 920),,,,
10,page 1,click (2373 851),,Stock Move to Norton Fitzwarren,18:40:00,00:25:00
